ligand	receptor	nichenet_v2	cellchat_v2	liana_consensus
A2M	KLK3	True	False	False
A2M	LRP1	True	False	True
A2M	MMP2	True	False	False
A2M	MMP9	True	False	False
AANAT	MTNR1A	True	False	True
AANAT	MTNR1B	True	False	True
ABCA1	APOA1	True	False	False
ABCA1	MEGF10	True	False	False
ACE	AGTR2	True	False	True
ACE	BDKRB2	True	False	True
ACE2	SLC6A19	True	False	False
ACE2	TIGIT	True	False	False
ACE2	TNFRSF11A	True	False	False
ACE2	TNFRSF11B	True	False	False
ACP4	ERBB4	True	False	False
ACP4	VSTM2B	True	False	False
ACTR2	ADRB2	False	False	True
ACTR2	LDLR	False	False	True
ACTR2	LRP2	False	False	True
ADA	DPP4	False	False	True
ADAM10	APP	True	False	False
ADAM10	AXL	True	False	True
ADAM10	CADM1	False	False	True
ADAM10	CD44	True	False	True
ADAM10	EPHA3	True	False	True
ADAM10	GPNMB	False	False	True
ADAM10	IL6R	False	False	True
ADAM10	MET	False	False	True
ADAM10	NOTCH1	True	False	True
ADAM10	NOTCH2	True	False	True
ADAM10	NOTCH3	True	False	False
ADAM10	NOTCH4	True	False	False
ADAM10	NRCAM	False	False	True
ADAM10	TREM2	False	False	True
ADAM10	TSPAN10	True	False	True
ADAM10	TSPAN12	False	False	True
ADAM10	TSPAN14	True	False	True
ADAM10	TSPAN15	True	False	True
ADAM10	TSPAN17	True	False	True
ADAM10	TSPAN33	True	False	False
ADAM10	TSPAN5	True	False	True
ADAM11	CCR4	True	False	False
ADAM11	ITGA4	True	False	True
ADAM12	ITGA9	True	False	True
ADAM12	ITGB1	True	False	True
ADAM12	SDC4	True	False	True
ADAM15	ITGA5	True	False	True
ADAM15	ITGA9	True	False	True
ADAM15	ITGAV	False	False	True
ADAM15	ITGB1	True	False	True
ADAM15	ITGB3	True	False	True
ADAM17	ERBB4	True	False	True
ADAM17	IL6R	True	False	True
ADAM17	ITGA5	True	False	True
ADAM17	ITGB1	True	False	True
ADAM17	MET	False	False	True
ADAM17	MUC1	True	False	True
ADAM17	NOTCH1	True	False	True
ADAM17	NOTCH2	True	False	False
ADAM17	NOTCH3	True	False	False
ADAM17	NOTCH4	True	False	False
ADAM17	RHBDF2	False	False	True
ADAM2	CD9	True	False	True
ADAM2	ITGA6	True	False	True
ADAM2	ITGA9	True	False	True
ADAM2	ITGB1	True	False	True
ADAM2	ITGB7	True	False	True
ADAM20	IL1RAPL1	True	False	False
ADAM20	IL1RAPL2	True	False	False
ADAM21	CLEC12B	True	False	False
ADAM21	FLT4	True	False	False
ADAM21	IGSF21	True	False	False
ADAM23	ITGA4	False	False	True
ADAM23	ITGA5	True	False	True
ADAM23	ITGB3	True	False	True
ADAM28	ITGA4	True	False	True
ADAM29	ITGA4	True	False	True
ADAM7	ITGA4	True	False	True
ADAM7	ITGB7	True	False	True
ADAM9	ITGA3	False	False	True
ADAM9	ITGA6	True	False	True
ADAM9	ITGAV	True	False	True
ADAM9	ITGB1	True	False	True
ADAM9	ITGB5	True	False	True
ADAMTS3	CCBE1	True	False	True
ADCYAP1	ADCYAP1R1	True	True	True
ADCYAP1	ADRB2	False	False	True
ADCYAP1	ADRB3	False	False	True
ADCYAP1	DPP4	False	False	True
ADCYAP1	GPR20	False	False	True
ADCYAP1	GPR84	False	False	True
ADCYAP1	PTH1R	False	False	True
ADCYAP1	RAMP2	False	False	True
ADCYAP1	RAMP3	False	False	True
ADCYAP1	SCTR	True	False	True
ADCYAP1	TSHR	False	False	True
ADCYAP1	VIPR1	True	False	True
ADCYAP1	VIPR2	True	False	True
ADGRB1	RTN4R	True	False	True
ADGRB1	RTN4RL1	False	False	True
ADGRB1	RTN4RL2	False	False	True
ADGRE5	CD55	True	False	False
ADGRF5	TREML2	True	False	False
ADIPOQ	ADIPOR1	True	True	True
ADIPOQ	ADIPOR2	True	True	True
ADIPOQ	ASGR2	False	False	True
ADIPOQ	CLEC2D	False	False	True
ADIPOQ	CNR2	True	False	True
ADIPOQ	GPR152	False	False	True
ADIPOQ	GPR42	True	False	True
ADIPOQ	PROKR2	False	False	True
ADM	ACKR3	False	False	True
ADM	ADCYAP1R1	False	False	True
ADM	ADRB2	False	False	True
ADM	ADRB3	False	False	True
ADM	CALCR	True	True	True
ADM	CALCR,RAMP1	False	True	False
ADM	CALCRL	True	True	True
ADM	DCLK3	False	False	True
ADM	GPR182	True	False	True
ADM	GPR20	False	False	True
ADM	GPR84	False	False	True
ADM	MRGPRX2	True	False	True
ADM	MRGPRX3	True	False	False
ADM	MRGPRX4	True	False	False
ADM	PTH1R	False	False	True
ADM	RAMP1	True	False	True
ADM	RAMP2	True	False	True
ADM	RAMP2,CALCR	False	True	False
ADM	RAMP3	True	False	True
ADM	RAMP3,CALCR	False	True	False
ADM	TSHR	False	False	True
ADM	VIPR1	False	False	True
ADM2	ADCYAP1R1	True	False	True
ADM2	ADRB2	True	False	True
ADM2	ADRB3	True	False	True
ADM2	CALCR	True	False	True
ADM2	CALCRL	True	False	True
ADM2	DCLK3	False	False	True
ADM2	GPR20	True	False	True
ADM2	GPR84	True	False	True
ADM2	PTH1R	True	False	True
ADM2	RAMP1	True	False	True
ADM2	RAMP2	True	False	True
ADM2	RAMP3	True	False	True
ADM2	TSHR	True	False	True
ADM2	VIPR1	True	False	True
ADO	ADORA1	False	False	True
ADO	ADORA2A	False	False	True
ADO	ADORA2B	False	False	True
ADO	ADORA3	False	False	True
ADORA3	ENTPD1	False	True	False
AFDN	EPHA7	False	False	True
AFDN	EPHB2	False	False	True
AFDN	EPHB3	False	False	True
AFDN	EPHB6	False	False	True
AGRN	ATP1A3	True	False	True
AGRN	CHRNB3	True	False	False
AGRN	DAG1	True	True	True
AGRN	ITGB1	True	False	True
AGRN	LRP1	True	False	True
AGRN	LRP2	True	False	True
AGRN	LRP4	True	False	True
AGRN	MUSK	True	False	True
AGRP	MC1R	False	False	True
AGRP	MC3R	True	False	True
AGRP	MC4R	True	False	True
AGRP	MC5R	True	False	True
AGRP	SDC1	False	False	True
AGRP	SDC3	True	False	True
AGT	ADRA2A	False	False	True
AGT	AGTR1	True	True	True
AGT	AGTR2	True	True	True
AGT	ENPEP	False	False	True
AGT	GRM7	False	False	True
AGT	LRP2	True	False	True
AGT	MAS1	True	True	True
AGT	MTNR1A	False	False	True
AGT	REN	True	False	False
AGTRAP	RACK1	False	False	True
AHSG	INSR	True	False	True
AIMP1	NTRK1	True	False	True
AKR1C3	PTGDR2	False	True	False
AKR1C3	PTGFR	False	True	False
AKR1D1	AR	False	True	False
ALB	B2M_FCGRT	False	False	True
ALB	LRP2	True	False	True
ALCAM	ALCAM	True	False	False
ALCAM	CD6	True	False	True
ALCAM	CHL1	True	False	True
ALCAM	NRP1	True	False	True
ALDH1A1	CRABP2,RARA	False	True	False
ALDH1A1	CRABP2,RXRA	False	True	False
ALDH1A1	CRABP2,RXRA,RARA	False	True	False
ALDH1A1	CRABP2,RXRB	False	True	False
ALDH1A1	CRABP2,RXRG	False	True	False
ALDH1A1	RARB,CRABP2	False	True	False
ALDH1A1	RARB,CRABP2,RXRB	False	True	False
ALDH1A1	RARG,CRABP2	False	True	False
ALDH1A1	RARG,CRABP2,RXRG	False	True	False
ALDH1A1	RORB	False	True	False
ALDH1A2	CRABP2,RARA	False	True	False
ALDH1A2	CRABP2,RXRA	False	True	False
ALDH1A2	CRABP2,RXRA,RARA	False	True	False
ALDH1A2	CRABP2,RXRB	False	True	False
ALDH1A2	CRABP2,RXRG	False	True	False
ALDH1A2	RARB,CRABP2	False	True	False
ALDH1A2	RARB,CRABP2,RXRB	False	True	False
ALDH1A2	RARG,CRABP2	False	True	False
ALDH1A2	RARG,CRABP2,RXRG	False	True	False
ALDH1A2	RORB	False	True	False
ALDH1A3	CRABP2,RARA	False	True	False
ALDH1A3	CRABP2,RXRA	False	True	False
ALDH1A3	CRABP2,RXRA,RARA	False	True	False
ALDH1A3	CRABP2,RXRB	False	True	False
ALDH1A3	CRABP2,RXRG	False	True	False
ALDH1A3	RARB,CRABP2	False	True	False
ALDH1A3	RARB,CRABP2,RXRB	False	True	False
ALDH1A3	RARG,CRABP2	False	True	False
ALDH1A3	RARG,CRABP2,RXRG	False	True	False
ALDH1A3	RORB	False	True	False
ALKAL1	ALK	True	False	True
ALKAL1	LTK	True	False	True
ALKAL2	ALK	True	False	True
ALKAL2	LTK	True	False	True
ALOX12	FPR2	False	True	False
ALOX5AP	ALOX5	True	False	False
ALOX5AP,LTC4S,ALOX5	CYSLTR1	False	True	False
ALOX5AP,LTC4S,ALOX5	CYSLTR2	False	True	False
ALOX5AP,LTC4S,ALOX5	FPR2	False	True	False
AMBN	CD63	True	False	True
AMELX	CD63	True	False	True
AMELX	LAMP1	True	False	True
AMELX	LAMP2	True	False	True
AMELY	CD63	True	False	True
AMELY	LAMP1	True	False	True
AMELY	LAMP2	True	False	True
AMH	ACVR1	True	False	False
AMH	ACVR1,AMHR2	False	True	False
AMH	ACVR1_AMHR2	False	False	True
AMH	AMHR2	True	False	False
AMH	AMHR2,BMPR1A	False	True	False
AMH	AMHR2_BMPR1A	False	False	True
AMH	AMHR2_BMPR1B	False	False	True
