CCC,mean_A,mean_B,delta,enriched_in
DCIS_1 → Myoepi_ACTA2+ | CEACAM6–CEACAM6,1.5040734466542893,4.3309216368982995,-2.82684819024401,Niche B
Myoepi_ACTA2+ → DCIS_1 | CEACAM6–CEACAM6,1.5040734482003226,4.330921634154712,-2.8268481859543892,Niche B
Stromal → DCIS_1 | S100A4–ERBB2,0.6513269583015895,3.065138757782574,-2.4138117994809845,Niche B
DCIS_1 → Stromal | CEACAM6–CEACAM6,0.4728938505118407,2.3847768036818278,-1.911882953169987,Niche B
Stromal → DCIS_1 | CEACAM6–CEACAM6,0.47289384926928296,2.384776790761395,-1.9118829414921121,Niche B
DCIS_1 → DCIS_2 | CDH1–CDH1,2.308077163289975,0.39637908836985575,1.9116980749201191,Niche A
DCIS_2 → DCIS_1 | CDH1–CDH1,2.3080771669633324,0.3963790873244863,1.911698079638846,Niche A
DCIS_2 → DCIS_2 | CEACAM6–CEACAM6,3.983523772007258,0.23541667044656042,3.7481071015606977,Niche A
DCIS_1 → DCIS_2 | CEACAM6–CEACAM6,8.367374299739264,1.2494550361722827,7.117919263566982,Niche A
DCIS_2 → DCIS_1 | CEACAM6–CEACAM6,8.367374304708273,1.2494550368608948,7.117919267847378,Niche A
