method,niche,cell_type,n_cells,mean_local_fraction,global_mean_local_fraction,relative_enrichment_0to1,p_greater_raw,across_niche_entropy,entropy_rank
CCC only,1,Unlabeled,24958,0.026030527935380163,0.042838264256715775,0.0,1.0,0.9242543621127843,1
CCC only,1,Macrophages_1,24958,0.05979394272750097,0.06661433726549149,0.0,1.0,0.9006320881527183,2
CCC only,1,Stromal,24958,0.4406271466064825,0.23891310393810272,0.26503418684703256,0.0,0.8810443813660576,3
CCC only,1,Mast_Cells,24958,0.0014943902831599338,0.0010158149525523186,0.00047906198187067474,8.514737876370116e-48,0.8459555719763037,4
CCC only,1,Endothelial,24958,0.14684837727154024,0.05436495691537857,0.0978003334568614,0.0,0.825483764898325,5
CCC only,1,Stromal_&_T_Cell_Hybrid,24958,0.003206213211469686,0.0036742810625582933,0.0,0.9999999999991859,0.7702992837865796,6
CCC only,1,CD8+_T_Cells,24958,0.027138007456031385,0.0427422970533371,0.0,1.0,0.7676018318792889,7
CCC only,1,Perivascular-Like,24958,0.017712043237333972,0.0053644864819943905,0.01241415219715161,0.0,0.7343192251851791,8
CCC only,1,B_Cells,24958,0.022646501609297414,0.030480749905109406,0.0,0.9999999999999992,0.7034092402483941,9
CCC only,1,IRF7+_DCs,24958,0.0014381318405835247,0.0030429887119680643,0.0,1.0,0.6901462665810874,10
CCC only,1,Myoepi_KRT15+,24958,0.001319059045416458,0.017415644600987434,0.0,1.0,0.6508595997060553,11
CCC only,1,Myoepi_ACTA2+,24958,0.015249319596587284,0.04370839148759842,0.0,1.0,0.6469476081329483,12
CCC only,1,Macrophages_2,24958,0.009449258906925091,0.00992500688880682,0.0,1.978376056172109e-54,0.6372088811503231,13
CCC only,1,T_Cell_&_Tumor_Hybrid,24958,0.00260124630291096,0.0034927502274513245,0.0,1.0,0.6320777605107629,14
CCC only,1,CD4+_T_Cells,24958,0.03321400193180332,0.05306157097220421,0.0,1.0,0.6099608764790679,15
CCC only,1,LAMP3+_DCs,24958,0.001165622347932943,0.0018582490738481283,0.0,1.0,0.569396688627878,16
CCC only,1,Invasive_Tumor,24958,0.17112127333909544,0.20947420597076416,0.0,1.0,0.41434905535073846,17
CCC only,1,DCIS_2,24958,0.005015039745930869,0.07043232023715973,0.0,1.0,0.37429727836916876,18
CCC only,1,DCIS_1,24958,0.0013001574392371455,0.07875767350196838,0.0,1.0,0.34657580101251384,19
CCC only,1,Prolif_Invasive_Tumor,24958,0.012629739631440559,0.022822272032499313,0.0,1.0,0.21610865964010662,20
CCC only,2,Unlabeled,40867,0.04399171087368557,0.042838264256715775,0.0012050697257990485,1.0,0.9242543621127843,1
CCC only,2,Macrophages_1,40867,0.04551114826201575,0.06661433726549149,0.0,1.0,0.9006320881527183,2
CCC only,2,Stromal,40867,0.08800681271607455,0.23891310393810272,0.0,1.0,0.8810443813660576,3
CCC only,2,Mast_Cells,40867,0.00024774918192806594,0.0010158149525523186,0.0,1.0,0.8459555719763037,4
CCC only,2,Endothelial,40867,0.029343405938348298,0.05436495691537857,0.0,1.0,0.825483764898325,5
CCC only,2,Stromal_&_T_Cell_Hybrid,40867,0.0007669365058898471,0.0036742810625582933,0.0,1.0,0.7702992837865796,6
CCC only,2,CD8+_T_Cells,40867,0.014414119492935262,0.0427422970533371,0.0,1.0,0.7676018318792889,7
CCC only,2,Perivascular-Like,40867,0.0015646039343919763,0.0053644864819943905,0.0,1.0,0.7343192251851791,8
CCC only,2,B_Cells,40867,0.0036063908091478326,0.030480749905109406,0.0,1.0,0.7034092402483941,9
CCC only,2,IRF7+_DCs,40867,0.00036902914389322806,0.0030429887119680643,0.0,1.0,0.6901462665810874,10
CCC only,2,Myoepi_KRT15+,40867,8.516224501316999e-05,0.017415644600987434,0.0,1.0,0.6508595997060553,11
CCC only,2,Myoepi_ACTA2+,40867,0.0025717988805826694,0.04370839148759842,0.0,1.0,0.6469476081329483,12
CCC only,2,Macrophages_2,40867,0.0007912554983553818,0.00992500688880682,0.0,1.0,0.6372088811503231,13
CCC only,2,T_Cell_&_Tumor_Hybrid,40867,0.008891946070048071,0.0034927502274513245,0.005418120103926516,0.0,0.6320777605107629,14
CCC only,2,CD4+_T_Cells,40867,0.007177231646544323,0.05306157097220421,0.0,1.0,0.6099608764790679,15
CCC only,2,LAMP3+_DCs,40867,0.0001273773746346619,0.0018582490738481283,0.0,1.0,0.569396688627878,16
CCC only,2,Invasive_Tumor,40867,0.6560362845300567,0.20947420597076416,0.5648924828666342,0.0,0.41434905535073846,17
CCC only,2,DCIS_2,40867,0.013458717754028269,0.07043232023715973,0.0,1.0,0.37429727836916876,18
CCC only,2,DCIS_1,40867,0.0003756111579888309,0.07875767350196838,0.0,1.0,0.34657580101251384,19
CCC only,2,Prolif_Invasive_Tumor,40867,0.08266270797927085,0.022822272032499313,0.06123802615400323,0.0,0.21610865964010662,20
CCC only,3,Unlabeled,14884,0.037009149337105376,0.042838264256715775,0.0,1.0793676778027527e-123,0.9242543621127843,1
CCC only,3,Macrophages_1,14884,0.08083777452864356,0.06661433726549149,0.015238542563366745,2.806743345926464e-130,0.9006320881527183,2
CCC only,3,Stromal,14884,0.4856604825367921,0.23891310393810272,0.3242039571387358,0.0,0.8810443813660576,3
CCC only,3,Mast_Cells,14884,0.00294118672090271,0.0010158149525523186,0.001927329630661717,1.1073105260860164e-273,0.8459555719763037,4
CCC only,3,Endothelial,14884,0.07355836988956127,0.05436495691537857,0.020296850849821056,9.180285881755177e-86,0.825483764898325,5
CCC only,3,Stromal_&_T_Cell_Hybrid,14884,0.00607126631387241,0.0036742810625582933,0.0024058248984905346,2.46350349041736e-173,0.7702992837865796,6
CCC only,3,CD8+_T_Cells,14884,0.057170581293807435,0.0427422970533371,0.015072518529393637,0.0,0.7676018318792889,7
CCC only,3,Perivascular-Like,14884,0.00579406724633398,0.0053644864819943905,0.0004318976697292144,7.702090783653851e-14,0.7343192251851791,8
CCC only,3,B_Cells,14884,0.0746086238115528,0.030480749905109406,0.04551521134109475,0.0,0.7034092402483941,9
CCC only,3,IRF7+_DCs,14884,0.005364821977717604,0.0030429887119680643,0.0023289201603180253,3.915290336991902e-157,0.6901462665810874,10
CCC only,3,Myoepi_KRT15+,14884,0.00045881648567970464,0.017415644600987434,0.0,1.0,0.6508595997060553,11
CCC only,3,Myoepi_ACTA2+,14884,0.005528902217878427,0.04370839148759842,0.0,1.0,0.6469476081329483,12
CCC only,3,Macrophages_2,14884,0.06419170881899826,0.00992500688880682,0.05481069854184602,0.0,0.6372088811503231,13
CCC only,3,T_Cell_&_Tumor_Hybrid,14884,0.0013921250299184773,0.0034927502274513245,0.0,1.0,0.6320777605107629,14
CCC only,3,CD4+_T_Cells,14884,0.07482196000138357,0.05306157097220421,0.022979728948456783,0.0,0.6099608764790679,15
CCC only,3,LAMP3+_DCs,14884,0.002196725646377725,0.0018582490738481283,0.00033910671228951485,1.6600250365189132e-12,0.569396688627878,16
CCC only,3,Invasive_Tumor,14884,0.0179005994913502,0.20947420597076416,0.0,1.0,0.41434905535073846,17
CCC only,3,DCIS_2,14884,0.002206185056811449,0.07043232023715973,0.0,1.0,0.37429727836916876,18
CCC only,3,DCIS_1,14884,0.0011677054980193276,0.07875767350196838,0.0,1.0,0.34657580101251384,19
CCC only,3,Prolif_Invasive_Tumor,14884,0.0011189487273441585,0.022822272032499313,0.0,1.0,0.21610865964010662,20
CCC only,4,Unlabeled,8234,0.08211969292959491,0.042838264256715775,0.041039489633407845,0.0,0.9242543621127843,1
CCC only,4,Macrophages_1,8234,0.0842588939223289,0.06661433726549149,0.01890382209675291,1.9647619818584048e-110,0.9006320881527183,2
CCC only,4,Stromal,8234,0.44029287279267587,0.23891310393810272,0.26459498099277207,0.0,0.8810443813660576,3
CCC only,4,Mast_Cells,8234,0.0015984506778088541,0.0010158149525523186,0.0005832281929276955,1.4963382193601354e-23,0.8459555719763037,4
