method,niche,cell_type,n_cells,mean_local_fraction,global_mean_local_fraction,relative_enrichment_0to1,p_greater_raw,across_niche_entropy,entropy_rank
Composition only,1,Unlabeled,50998,0.03321070065378384,0.042838264256715775,0.0,3.469963898268107e-164,0.8192270050148448,1
Composition only,1,Macrophages_1,50998,0.07380186559827309,0.06661433726549149,0.007700491407111842,9.901637459827128e-287,0.8019178716402003,2
Composition only,1,Endothelial,50998,0.06347272654924588,0.05436495691537857,0.009631379373839883,0.0,0.7535428257616795,3
Composition only,1,Perivascular-Like,50998,0.006259075490529599,0.0053644864819943905,0.0008994138942550351,6.141958723879447e-60,0.7152980437366286,4
Composition only,1,Myoepi_ACTA2+,50998,0.02640683573943642,0.04370839148759842,0.0,1.0,0.702087287654945,5
Composition only,1,CD8+_T_Cells,50998,0.045909400148258867,0.0427422970533371,0.00330851674995503,0.0,0.6596497535065446,6
Composition only,1,T_Cell_&_Tumor_Hybrid,50998,0.0014626551315840002,0.0034927502274513245,0.0,1.0,0.5841352489911474,7
Composition only,1,Stromal_&_T_Cell_Hybrid,50998,0.0072189610607398475,0.0036742810625582933,0.0035577521355758296,0.0,0.5786956434347333,8
Composition only,1,Mast_Cells,50998,0.0022314274304484237,0.0010158149525523186,0.0012168486037678835,0.0,0.5543816186190537,9
Composition only,1,Myoepi_KRT15+,50998,0.0011214931900328717,0.017415644600987434,0.0,1.0,0.5222823169304115,10
Composition only,1,B_Cells,50998,0.049614848695756546,0.030480749905109406,0.019735656245847943,0.0,0.5210013279407797,11
Composition only,1,IRF7+_DCs,50998,0.004685528368735328,0.0030429887119680643,0.001647553154309823,0.0,0.5110207294114983,12
Composition only,1,DCIS_2,50998,0.007831122708345786,0.07043232023715973,0.0,1.0,0.5035235604918589,13
Composition only,1,Macrophages_2,50998,0.023128598624553395,0.00992500688880682,0.013335951155251309,0.0,0.4668716065973242,14
Composition only,1,CD4+_T_Cells,50998,0.035685197292193695,0.05306157097220421,0.0,0.0,0.4657087216078272,15
Composition only,1,Stromal,50998,0.5869129598613335,0.23891310393810272,0.45724064431710487,0.0,0.4639757508231126,16
Composition only,1,LAMP3+_DCs,50998,0.0012631060370939307,0.0018582490738481283,0.0,1.0,0.3960707091999771,17
Composition only,1,Invasive_Tumor,50998,0.01808797736607098,0.20947420597076416,0.0,1.0,0.2290340142741681,18
Composition only,1,DCIS_1,50998,0.009601969139325754,0.07875767350196838,0.0,1.0,0.18054391398479164,19
Composition only,1,Prolif_Invasive_Tumor,50998,0.0020935511667079837,0.022822272032499313,0.0,1.0,0.1418535293246717,20
Composition only,2,Unlabeled,45362,0.016985706007110836,0.042838264256715775,0.0,1.0,0.8192270050148448,1
Composition only,2,Macrophages_1,45362,0.0460757136144996,0.06661433726549149,0.0,1.0,0.8019178716402003,2
Composition only,2,Endothelial,45362,0.034821467827912095,0.05436495691537857,0.0,1.0,0.7535428257616795,3
Composition only,2,Perivascular-Like,45362,0.001844134432590501,0.0053644864819943905,0.0,1.0,0.7152980437366286,4
Composition only,2,Myoepi_ACTA2+,45362,0.0010055681355262273,0.04370839148759842,0.0,1.0,0.702087287654945,5
Composition only,2,CD8+_T_Cells,45362,0.0127980387003667,0.0427422970533371,0.0,1.0,0.6596497535065446,6
Composition only,2,T_Cell_&_Tumor_Hybrid,45362,0.008402375220881922,0.0034927502274513245,0.004926833301688993,0.0,0.5841352489911474,7
Composition only,2,Stromal_&_T_Cell_Hybrid,45362,0.0007239232657172663,0.0036742810625582933,0.0,1.0,0.5786956434347333,8
Composition only,2,Mast_Cells,45362,0.00016683042065413975,0.0010158149525523186,0.0,1.0,0.5543816186190537,9
Composition only,2,Myoepi_KRT15+,45362,2.4192986435756908e-05,0.017415644600987434,0.0,1.0,0.5222823169304115,10
Composition only,2,B_Cells,45362,0.003908324205628194,0.030480749905109406,0.0,1.0,0.5210013279407797,11
Composition only,2,IRF7+_DCs,45362,0.0003667982854735403,0.0030429887119680643,0.0,1.0,0.5110207294114983,12
Composition only,2,DCIS_2,45362,0.010344162094643915,0.07043232023715973,0.0,1.0,0.5035235604918589,13
Composition only,2,Macrophages_2,45362,0.0010365690544364384,0.00992500688880682,0.0,1.0,0.4668716065973242,14
Composition only,2,CD4+_T_Cells,45362,0.0062035366132296675,0.05306157097220421,0.0,1.0,0.4657087216078272,15
Composition only,2,Stromal,45362,0.08150928435909498,0.23891310393810272,0.0,1.0,0.4639757508231126,16
Composition only,2,LAMP3+_DCs,45362,0.0001479934208196282,0.0018582490738481283,0.0,1.0,0.3960707091999771,17
Composition only,2,Invasive_Tumor,45362,0.6941655981926201,0.20947420597076416,0.613125334913399,0.0,0.2290340142741681,18
Composition only,2,DCIS_1,45362,0.0004888453837929026,0.07875767350196838,0.0,1.0,0.18054391398479164,19
Composition only,2,Prolif_Invasive_Tumor,45362,0.07898093792310479,0.022822272032499313,0.057470267322950006,0.0,0.1418535293246717,20
Composition only,3,Unlabeled,3992,0.6407935526819232,0.042838264256715775,0.6247170912475127,0.0,0.8192270050148448,1
Composition only,3,Macrophages_1,3992,0.048753544815488686,0.06661433726549149,0.0,1.0,0.8019178716402003,2
Composition only,3,Endothelial,3992,0.008169040725060124,0.05436495691537857,0.0,1.0,0.7535428257616795,3
Composition only,3,Perivascular-Like,3992,0.0010532411071191852,0.0053644864819943905,0.0,1.0,0.7152980437366286,4
Composition only,3,Myoepi_ACTA2+,3992,0.004946737109500549,0.04370839148759842,0.0,1.0,0.702087287654945,5
Composition only,3,CD8+_T_Cells,3992,0.015433475162895598,0.0427422970533371,0.0,1.0,0.6596497535065446,6
Composition only,3,T_Cell_&_Tumor_Hybrid,3992,0.001974387006276247,0.0034927502274513245,0.0,1.0,0.5841352489911474,7
Composition only,3,Stromal_&_T_Cell_Hybrid,3992,0.001082158657372771,0.0036742810625582933,0.0,1.0,0.5786956434347333,8
Composition only,3,Mast_Cells,3992,0.0005174385010702676,0.0010158149525523186,0.0,0.9999999989957028,0.5543816186190537,9
Composition only,3,Myoepi_KRT15+,3992,0.0031448224333886204,0.017415644600987434,0.0,0.9999999999978346,0.5222823169304115,10
Composition only,3,B_Cells,3992,0.01334601388830772,0.030480749905109406,0.0,1.0,0.5210013279407797,11
Composition only,3,IRF7+_DCs,3992,0.0015887304416381455,0.0030429887119680643,0.0,0.999999999999986,0.5110207294114983,12
Composition only,3,DCIS_2,3992,0.06738001598727954,0.07043232023715973,0.0,1.2267063902036905e-160,0.5035235604918589,13
Composition only,3,Macrophages_2,3992,0.005209429166012345,0.00992500688880682,0.0,1.0,0.4668716065973242,14
Composition only,3,CD4+_T_Cells,3992,0.03058205145716275,0.05306157097220421,0.0,0.9999915895484708,0.4657087216078272,15
Composition only,3,Stromal,3992,0.04974607191683038,0.23891310393810272,0.0,1.0,0.4639757508231126,16
Composition only,3,LAMP3+_DCs,3992,0.0007405524846853441,0.0018582490738481283,0.0,1.0,0.3960707091999771,17
Composition only,3,Invasive_Tumor,3992,0.08897505025134694,0.20947420597076416,0.0,0.21132803544637496,0.2290340142741681,18
Composition only,3,DCIS_1,3992,0.016371492145974983,0.07875767350196838,0.0,8.259933817148426e-45,0.18054391398479164,19
Composition only,3,Prolif_Invasive_Tumor,3992,0.0001921940900449334,0.022822272032499313,0.0,1.0,0.1418535293246717,20
Composition only,4,Unlabeled,7751,0.014485946795460374,0.042838264256715775,0.0,1.0,0.8192270050148448,1
Composition only,4,Macrophages_1,7751,0.053820849285505346,0.06661433726549149,0.0,0.9999999999999997,0.8019178716402003,2
Composition only,4,Endothelial,7751,0.03588575578037923,0.05436495691537857,0.0,1.0,0.7535428257616795,3
Composition only,4,Perivascular-Like,7751,0.0031577065580315074,0.0053644864819943905,0.0,0.9999999999999996,0.7152980437366286,4
Composition only,4,Myoepi_ACTA2+,7751,0.3916133049508544,0.04370839148759842,0.3638062988902365,0.0,0.702087287654945,5
Composition only,4,CD8+_T_Cells,7751,0.02446066458660154,0.0427422970533371,0.0,1.0,0.6596497535065446,6
Composition only,4,T_Cell_&_Tumor_Hybrid,7751,0.0009169979202387456,0.0034927502274513245,0.0,1.0,0.5841352489911474,7
Composition only,4,Stromal_&_T_Cell_Hybrid,7751,0.0016920423269915401,0.0036742810625582933,0.0,1.0,0.5786956434347333,8
Composition only,4,Mast_Cells,7751,0.0011135520717630639,0.0010158149525523186,9.783650563848139e-05,4.906659545583606e-05,0.5543816186190537,9
Composition only,4,Myoepi_KRT15+,7751,0.1483560555082304,0.017415644600987434,0.13326124107263201,0.0,0.5222823169304115,10
Composition only,4,B_Cells,7751,0.004791536030883803,0.030480749905109406,0.0,1.0,0.5210013279407797,11
Composition only,4,IRF7+_DCs,7751,0.00019211567480056043,0.0030429887119680643,0.0,1.0,0.5110207294114983,12
Composition only,4,DCIS_2,7751,0.12967357080805997,0.07043232023715973,0.06372989391839116,0.0,0.5035235604918589,13
Composition only,4,Macrophages_2,7751,0.0014699517045200828,0.00992500688880682,0.0,1.0,0.4668716065973242,14
Composition only,4,CD4+_T_Cells,7751,0.00800961430261202,0.05306157097220421,0.0,1.0,0.4657087216078272,15
Composition only,4,Stromal,7751,0.13211195493896963,0.23891310393810272,0.0,1.0,0.4639757508231126,16
Composition only,4,LAMP3+_DCs,7751,0.00032312513107162123,0.0018582490738481283,0.0,1.0,0.3960707091999771,17
Composition only,4,Invasive_Tumor,7751,0.011087509563704346,0.20947420597076416,0.0,1.0,0.2290340142741681,18
Composition only,4,DCIS_1,7751,0.03612766912187903,0.07875767350196838,0.0,1.965524612098985e-14,0.18054391398479164,19
Composition only,4,Prolif_Invasive_Tumor,7751,0.0007100773958070919,0.022822272032499313,0.0,1.0,0.1418535293246717,20
Composition only,5,Unlabeled,18346,0.014513022509720837,0.042838264256715775,0.0,1.0,0.8192270050148448,1
Composition only,5,Macrophages_1,18346,0.03509540822492404,0.06661433726549149,0.0,1.0,0.8019178716402003,2
Composition only,5,Endothelial,18346,0.014725165762558081,0.05436495691537857,0.0,1.0,0.7535428257616795,3
Composition only,5,Perivascular-Like,18346,0.0006497198791114905,0.0053644864819943905,0.0,1.0,0.7152980437366286,4
Composition only,5,Myoepi_ACTA2+,18346,0.0662474802637445,0.04370839148759842,0.023569263182809875,0.0,0.702087287654945,5
Composition only,5,CD8+_T_Cells,18346,0.011109698524681202,0.0427422970533371,0.0,1.0,0.6596497535065446,6
Composition only,5,T_Cell_&_Tumor_Hybrid,18346,0.0009895312581501938,0.0034927502274513245,0.0,1.0,0.5841352489911474,7
Composition only,5,Stromal_&_T_Cell_Hybrid,18346,0.000623218742324427,0.0036742810625582933,0.0,1.0,0.5786956434347333,8
Composition only,5,Mast_Cells,18346,7.466268178961288e-05,0.0010158149525523186,0.0,1.0,0.5543816186190537,9
Composition only,5,Myoepi_KRT15+,18346,0.07592271653237607,0.017415644600987434,0.05954407018491591,0.0,0.5222823169304115,10
Composition only,5,B_Cells,18346,0.0016237915712139163,0.030480749905109406,0.0,1.0,0.5210013279407797,11
Composition only,5,IRF7+_DCs,18346,7.410079701383804e-05,0.0030429887119680643,0.0,1.0,0.5110207294114983,12
Composition only,5,DCIS_2,18346,0.05745356466459757,0.07043232023715973,0.0,0.0,0.5035235604918589,13
Composition only,5,Macrophages_2,18346,0.0008638992464639633,0.00992500688880682,0.0,1.0,0.4668716065973242,14
Composition only,5,CD4+_T_Cells,18346,0.0016291675303385885,0.05306157097220421,0.0,1.0,0.4657087216078272,15
Composition only,5,Stromal,18346,0.03874991126166046,0.23891310393810272,0.0,1.0,0.4639757508231126,16
Composition only,5,LAMP3+_DCs,18346,7.52439196703284e-05,0.0018582490738481283,0.0,1.0,0.3960707091999771,17
Composition only,5,Invasive_Tumor,18346,0.019779901363516365,0.20947420597076416,0.0,1.0,0.2290340142741681,18
Composition only,5,DCIS_1,18346,0.6594674589219413,0.07875767350196838,0.6303550650363748,0.0,0.18054391398479164,19
Composition only,5,Prolif_Invasive_Tumor,18346,0.0003323368524088213,0.022822272032499313,0.0,1.0,0.1418535293246717,20
Composition only,6,Unlabeled,13133,0.02921250962402797,0.042838264256715775,0.0,1.0,0.8192270050148448,1
Composition only,6,Macrophages_1,13133,0.030139300390851578,0.06661433726549149,0.0,1.0,0.8019178716402003,2
Composition only,6,Endothelial,13133,0.012594869852055072,0.05436495691537857,0.0,1.0,0.7535428257616795,3
Composition only,6,Perivascular-Like,13133,0.0007573077342054078,0.0053644864819943905,0.0,1.0,0.7152980437366286,4
Composition only,6,Myoepi_ACTA2+,13133,0.1072049525537395,0.04370839148759842,0.0663987428167508,0.0,0.702087287654945,5
Composition only,6,CD8+_T_Cells,13133,0.010229037982844304,0.0427422970533371,0.0,1.0,0.6596497535065446,6
Composition only,6,T_Cell_&_Tumor_Hybrid,13133,0.0016908606984259711,0.0034927502274513245,0.0,1.0,0.5841352489911474,7
Composition only,6,Stromal_&_T_Cell_Hybrid,13133,0.0006330379238894677,0.0036742810625582933,0.0,1.0,0.5786956434347333,8
Composition only,6,Mast_Cells,13133,0.00020197103825296168,0.0010158149525523186,0.0,1.0,0.5543816186190537,9
Composition only,6,Myoepi_KRT15+,13133,0.019274929731434413,0.017415644600987434,0.001892239701055875,6.2168817835820144e-139,0.5222823169304115,10
Composition only,6,B_Cells,13133,0.0011273068027472769,0.030480749905109406,0.0,1.0,0.5210013279407797,11
Composition only,6,IRF7+_DCs,13133,0.00014189937240115434,0.0030429887119680643,0.0,1.0,0.5110207294114983,12
Composition only,6,DCIS_2,13133,0.6401268208502525,0.07043232023715973,0.6128596162316212,0.0,0.5035235604918589,13
Composition only,6,Macrophages_2,13133,0.00040736656677413857,0.00992500688880682,0.0,1.0,0.4668716065973242,14
Composition only,6,CD4+_T_Cells,13133,0.004460781620754977,0.05306157097220421,0.0,1.0,0.4657087216078272,15
Composition only,6,Stromal,13133,0.03963231170606508,0.23891310393810272,0.0,1.0,0.4639757508231126,16
Composition only,6,LAMP3+_DCs,13133,8.706115368553834e-06,0.0018582490738481283,0.0,1.0,0.3960707091999771,17
Composition only,6,Invasive_Tumor,13133,0.09090411815367756,0.20947420597076416,0.0,0.00037644342364898185,0.2290340142741681,18
Composition only,6,DCIS_1,13133,0.007671402879789027,0.07875767350196838,0.0,1.0,0.18054391398479164,19
Composition only,6,Prolif_Invasive_Tumor,13133,0.0035805080454323693,0.022822272032499313,0.0,1.0,0.1418535293246717,20
Composition only,7,Unlabeled,20228,0.053194392726486496,0.042838264256715775,0.010819622435749974,0.0,0.8192270050148448,1
Composition only,7,Macrophages_1,20228,0.14837317266339672,0.06661433726549149,0.08759384037007187,0.0,0.8019178716402003,2
Composition only,7,Endothelial,20228,0.0451611594425755,0.05436495691537857,0.0,7.262792093158496e-05,0.7535428257616795,3
Composition only,7,Perivascular-Like,20228,0.007503244638367357,0.0053644864819943905,0.0021502933569940244,0.0,0.7152980437366286,4
Composition only,7,Myoepi_ACTA2+,20228,0.004990605805213403,0.04370839148759842,0.0,1.0,0.702087287654945,5
Composition only,7,CD8+_T_Cells,20228,0.16356273562241447,0.0427422970533371,0.12621516659298365,0.0,0.6596497535065446,6
Composition only,7,T_Cell_&_Tumor_Hybrid,20228,0.002392136416941357,0.0034927502274513245,0.0,1.0,0.5841352489911474,7
Composition only,7,Stromal_&_T_Cell_Hybrid,20228,0.007019884194026287,0.0036742810625582933,0.003357941109458589,0.0,0.5786956434347333,8
Composition only,7,Mast_Cells,20228,0.001139984702166013,0.0010158149525523186,0.00012429601472102152,3.316506232560343e-05,0.5543816186190537,9
Composition only,7,Myoepi_KRT15+,20228,0.0014309982466654157,0.017415644600987434,0.0,1.0,0.5222823169304115,10
Composition only,7,B_Cells,20228,0.10089581450461356,0.030480749905109406,0.07262884574131487,0.0,0.5210013279407797,11
Composition only,7,IRF7+_DCs,20228,0.010881777136227413,0.0030429887119680643,0.007862714632883749,0.0,0.5110207294114983,12
Composition only,7,DCIS_2,20228,0.004031880153735457,0.07043232023715973,0.0,1.0,0.5035235604918589,13
Composition only,7,Macrophages_2,20228,0.012467365269464004,0.00992500688880682,0.0025678442549686223,3.6570193087815667e-159,0.4668716065973242,14
Composition only,7,CD4+_T_Cells,20228,0.30123176866321844,0.05306157097220421,0.262076375030668,0.0,0.4657087216078272,15
Composition only,7,Stromal,20228,0.11279269195517955,0.23891310393810272,0.0,1.0,0.4639757508231126,16
Composition only,7,LAMP3+_DCs,20228,0.011145132657394422,0.0018582490738481283,0.009304172917776993,0.0,0.3960707091999771,17
Composition only,7,Invasive_Tumor,20228,0.009762657452459212,0.20947420597076416,0.0,1.0,0.2290340142741681,18
Composition only,7,DCIS_1,20228,0.0009270777923097996,0.07875767350196838,0.0,1.0,0.18054391398479164,19
Composition only,7,Prolif_Invasive_Tumor,20228,0.0010955203479261061,0.022822272032499313,0.0,1.0,0.1418535293246717,20
Composition only,8,Unlabeled,6553,0.040639206518998286,0.042838264256715775,0.0,7.598288068867759e-172,0.8192270050148448,1
