method,niche,cell_type,n_cells,mean_local_fraction,global_mean_local_fraction,relative_enrichment_0to1,p_greater_raw,across_niche_entropy,entropy_rank
CCC only,1,Endothelial,33939,0.09469715398453404,0.04550870507955551,0.0515336787405807,0.0,0.9312853058642856,1
CCC only,1,Macrophage,33939,0.09138270344610855,0.08074821531772614,0.011568634549534199,2.9862564807181856e-145,0.8980996496370368,2
CCC only,1,Fibroblast,33939,0.1800230284438278,0.1119312047958374,0.07667404148834712,0.0,0.8566618851406552,3
CCC only,1,Pericyte,33939,0.027618048016716638,0.01802580989897251,0.009768320052629896,0.0,0.8562158820904299,4
CCC only,1,Mast cell,33939,0.014038154080346832,0.012513366527855396,0.0015441095191599777,7.280065564478032e-31,0.8475684463341316,5
CCC only,1,Unassigned,33939,0.20863213550874948,0.24880528450012207,0.0,1.0,0.7799036545964914,6
CCC only,1,T cell,33939,0.20257844931086735,0.20878617465496063,0.0,3.8887692900018743e-39,0.7698557118867875,7
CCC only,1,Myoepithelial,33939,0.007541562250049386,0.010875717736780643,0.0,1.0,0.7504657628150292,8
CCC only,1,B cell,33939,0.08692349574068803,0.0838341936469078,0.0033719900884619423,2.58331636235749e-93,0.740761107710031,9
CCC only,1,Epithelial,33939,0.08656526918812701,0.17895963788032532,0.0,1.0,0.6466090659068701,10
CCC only,2,Endothelial,28383,0.06744425389546604,0.04550870507955551,0.02298140215523334,0.0,0.9312853058642856,1
CCC only,2,Macrophage,28383,0.07186602534663583,0.08074821531772614,0.0,1.0,0.8980996496370368,2
CCC only,2,Fibroblast,28383,0.12069245790697336,0.1119312047958374,0.009865511724372424,4.010608106376714e-90,0.8566618851406552,3
CCC only,2,Pericyte,28383,0.024038754945181904,0.01802580989897251,0.006123322935613513,0.0,0.8562158820904299,4
CCC only,2,Mast cell,28383,0.013614235876178868,0.012513366527855396,0.0011148194627639847,3.247322992501247e-07,0.8475684463341316,5
CCC only,2,Unassigned,28383,0.15068597760597333,0.24880528450012207,0.0,1.0,0.7799036545964914,6
CCC only,2,T cell,28383,0.07261060421047792,0.20878617465496063,0.0,1.0,0.7698557118867875,7
CCC only,2,Myoepithelial,28383,0.12253784930520535,0.010875717736780643,0.11288988834204211,0.0,0.7504657628150292,8
CCC only,2,B cell,28383,0.023129071307008635,0.0838341936469078,0.0,1.0,0.740761107710031,9
CCC only,2,Epithelial,28383,0.3333807700706061,0.17895963788032532,0.18807982373290058,0.0,0.6466090659068701,10
CCC only,3,Endothelial,218987,0.026126750779756038,0.04550870507955551,0.0,1.0,0.9312853058642856,1
CCC only,3,Macrophage,218987,0.06659175247477933,0.08074821531772614,0.0,1.0,0.8980996496370368,2
CCC only,3,Fibroblast,218987,0.11691435259444607,0.1119312047958374,0.005611218213632956,8.213786272899683e-06,0.8566618851406552,3
CCC only,3,Pericyte,218987,0.010523174041537192,0.01802580989897251,0.0,1.0,0.8562158820904299,4
CCC only,3,Mast cell,218987,0.013334643747814278,0.012513366527855396,0.0008316843688392283,8.483905670166423e-152,0.8475684463341316,5
CCC only,3,Unassigned,218987,0.3665619433933391,0.24880528450012207,0.15675916838000725,0.0,0.7799036545964914,6
CCC only,3,T cell,218987,0.2656741372875102,0.20878617465496063,0.07189960776927656,0.0,0.7698557118867875,7
CCC only,3,Myoepithelial,218987,0.0038776244399396976,0.010875717736780643,0.0,1.0,0.7504657628150292,8
CCC only,3,B cell,218987,0.11359134696540643,0.0838341936469078,0.03248009518163949,0.0,0.740761107710031,9
CCC only,3,Epithelial,218987,0.01680427438271867,0.17895963788032532,0.0,1.0,0.6466090659068701,10
CCC only,4,Endothelial,66017,0.11852095944208232,0.04550870507955551,0.07649336671933954,0.0,0.9312853058642856,1
CCC only,4,Macrophage,66017,0.10100327903600358,0.08074821531772614,0.022034293245285084,0.0,0.8980996496370368,2
CCC only,4,Fibroblast,66017,0.14050195811880248,0.1119312047958374,0.032171779345536854,0.0,0.8566618851406552,3
CCC only,4,Pericyte,66017,0.06987343743621868,0.01802580989897251,0.05279937940828313,0.0,0.8562158820904299,4
CCC only,4,Mast cell,66017,0.01419476342791922,0.012513366527855396,0.0017027034058826435,2.9387397976711696e-88,0.8475684463341316,5
CCC only,4,Unassigned,66017,0.17429119076574745,0.24880528450012207,0.0,1.0,0.7799036545964914,6
CCC only,4,T cell,66017,0.23654862759420195,0.20878617465496063,0.03508843320576814,0.0,0.7698557118867875,7
CCC only,4,Myoepithelial,66017,0.004125272961266462,0.010875717736780643,0.0,1.0,0.7504657628150292,8
CCC only,4,B cell,66017,0.09735444566789565,0.0838341936469078,0.014757428838075272,0.0,0.740761107710031,9
CCC only,4,Epithelial,66017,0.04358606547759828,0.17895963788032532,0.0,1.0,0.6466090659068701,10
CCC only,5,Endothelial,52155,0.030172449693379268,0.04550870507955551,0.0,1.0,0.9312853058642856,1
CCC only,5,Macrophage,52155,0.10487284308339645,0.08074821531772614,0.026243764523063807,0.0,0.8980996496370368,2
CCC only,5,Fibroblast,52155,0.10757188015825206,0.1119312047958374,0.0,0.0,0.8566618851406552,3
CCC only,5,Pericyte,52155,0.009871220697142795,0.01802580989897251,0.0,1.0,0.8562158820904299,4
CCC only,5,Mast cell,52155,0.009521299148046985,0.012513366527855396,0.0,1.0,0.8475684463341316,5
CCC only,5,Unassigned,52155,0.18945066455823115,0.24880528450012207,0.0,1.0,0.7799036545964914,6
CCC only,5,T cell,52155,0.13481124172013348,0.20878617465496063,0.0,1.0,0.7698557118867875,7
CCC only,5,Myoepithelial,52155,0.006650705937831381,0.010875717736780643,0.0,1.0,0.7504657628150292,8
CCC only,5,B cell,52155,0.043281349199050585,0.0838341936469078,0.0,1.0,0.740761107710031,9
CCC only,5,Epithelial,52155,0.3637963459752455,0.17895963788032532,0.22512498765405517,0.0,0.6466090659068701,10
