CCC-only niche,n_cells,rank,sender,receiver,ligand,receptor,LR ID,HI loading
Niche 1,33939,1,Fibroblast,Endothelial,TIMP3,KDR,CommuSpace_HS_07454,1.9276187419891357
Niche 1,33939,2,Epithelial,Endothelial,TIMP3,KDR,CommuSpace_HS_07454,0.641528308391571
Niche 1,33939,3,Fibroblast,Endothelial,DCN,KDR,CommuSpace_HS_02342,0.5479274392127991
Niche 1,33939,4,Fibroblast,Endothelial,TIMP3,ADAMTS4,CommuSpace_HS_07450,0.3248976767063141
Niche 1,33939,5,Fibroblast,Endothelial,COL5A1,CD93,CommuSpace_HS_01860,0.25289836525917053
Niche 1,33939,6,Fibroblast,Endothelial,APP,FLT1,CommuSpace_HS_00391,0.23844598233699799
Niche 1,33939,7,Fibroblast,Endothelial,VEGFA,KDR,CommuSpace_HS_07705,0.2315799593925476
Niche 1,33939,8,Fibroblast,Endothelial,VEGFA,FLT1,CommuSpace_HS_07697,0.19337134063243866
Niche 1,33939,9,Fibroblast,Endothelial,COL5A2,CD93,CommuSpace_HS_01875,0.15716737508773804
Niche 1,33939,10,Pericyte,Endothelial,COL18A1,KDR,CommuSpace_HS_01568,0.15621435642242432
Niche 2,28383,1,Myoepithelial,Myoepithelial,THBS1,ITGA3,CommuSpace_HS_07374,0.7836612462997437
Niche 2,28383,2,Epithelial,Myoepithelial,TIMP3,CD44,CommuSpace_HS_07452,0.6038826704025269
Niche 2,28383,3,Myoepithelial,Epithelial,THBS1,SDC4,CommuSpace_HS_07386,0.5639522075653076
Niche 2,28383,4,Myoepithelial,Epithelial,TIMP3,DDR1,CommuSpace_HS_07453,0.49526602029800415
Niche 2,28383,5,Myoepithelial,Epithelial,THBS1,ITGA3,CommuSpace_HS_07374,0.49153804779052734
Niche 2,28383,6,Fibroblast,Myoepithelial,TIMP3,CD44,CommuSpace_HS_07452,0.4519262909889221
Niche 2,28383,7,Myoepithelial,Epithelial,THBS1,CD47,CommuSpace_HS_07371,0.4365275800228119
Niche 2,28383,8,Myoepithelial,Endothelial,APP,FLT1,CommuSpace_HS_00391,0.38735711574554443
Niche 2,28383,9,Epithelial,Myoepithelial,TIMP3,DDR1,CommuSpace_HS_07453,0.36182597279548645
Niche 2,28383,10,Myoepithelial,Myoepithelial,TIMP3,CD44,CommuSpace_HS_07452,0.3554456830024719
Niche 3,218987,1,Fibroblast,Macrophage,TIMP3,CD44,CommuSpace_HS_07452,1.7694412469863892
Niche 3,218987,2,Epithelial,Macrophage,TIMP3,CD44,CommuSpace_HS_07452,0.8253939151763916
Niche 3,218987,3,Endothelial,Macrophage,COL4A1,CD44,CommuSpace_HS_01729,0.5132217407226562
Niche 3,218987,4,Fibroblast,Macrophage,COL4A1,CD44,CommuSpace_HS_01729,0.3740103542804718
Niche 3,218987,5,Endothelial,Macrophage,COL4A2,CD44,CommuSpace_HS_01750,0.27575570344924927
Niche 3,218987,6,Fibroblast,Macrophage,TIMP2,CD44,CommuSpace_HS_07444,0.2621748447418213
Niche 3,218987,7,Epithelial,Macrophage,PKM,CD44,CommuSpace_HS_06177,0.26180514693260193
Niche 3,218987,8,Fibroblast,Macrophage,VEGFA,CD44,CommuSpace_HS_07694,0.24173633754253387
Niche 3,218987,9,Pericyte,Macrophage,COL4A1,CD44,CommuSpace_HS_01729,0.2403939664363861
Niche 3,218987,10,Endothelial,Macrophage,TIMP3,CD44,CommuSpace_HS_07452,0.22735141217708588
Niche 4,66017,1,Pericyte,Endothelial,COL4A1,CD93,CommuSpace_HS_01731,1.0497794151306152
Niche 4,66017,2,Pericyte,Endothelial,APP,FLT1,CommuSpace_HS_00391,0.6270829439163208
Niche 4,66017,3,Pericyte,Endothelial,COL4A2,CD93,CommuSpace_HS_01751,0.6156333684921265
Niche 4,66017,4,Endothelial,Endothelial,COL4A1,CD93,CommuSpace_HS_01731,0.6001285314559937
Niche 4,66017,5,Endothelial,Endothelial,APP,FLT1,CommuSpace_HS_00391,0.5607096552848816
Niche 4,66017,6,Fibroblast,Pericyte,TIMP3,ADAMTS4,CommuSpace_HS_07450,0.5534776449203491
Niche 4,66017,7,Pericyte,Epithelial,COL4A1,CD44,CommuSpace_HS_01729,0.43556633591651917
Niche 4,66017,8,Pericyte,Epithelial,COL4A1,SDC4,CommuSpace_HS_01748,0.4173521399497986
Niche 4,66017,9,Pericyte,Epithelial,COL4A2,DDR1,CommuSpace_HS_01752,0.41469305753707886
Niche 4,66017,10,Pericyte,Epithelial,COL4A1,CD47,CommuSpace_HS_01730,0.34917062520980835
Niche 5,52155,1,Fibroblast,Epithelial,TIMP3,DDR1,CommuSpace_HS_07453,1.5998656749725342
Niche 5,52155,2,Fibroblast,Epithelial,TIMP3,CD44,CommuSpace_HS_07452,1.0438024997711182
Niche 5,52155,3,Fibroblast,Epithelial,COL5A1,DDR1,CommuSpace_HS_01861,0.6042944192886353
Niche 5,52155,4,Fibroblast,Epithelial,THBS1,SDC4,CommuSpace_HS_07386,0.4064362049102783
Niche 5,52155,5,Fibroblast,Epithelial,THBS1,CD47,CommuSpace_HS_07371,0.352237731218338
Niche 5,52155,6,Fibroblast,Epithelial,COL5A2,DDR1,CommuSpace_HS_01876,0.3440094590187073
Niche 5,52155,7,Fibroblast,Epithelial,CCN1,SDC4,CommuSpace_HS_01084,0.2705742120742798
Niche 5,52155,8,Fibroblast,Epithelial,POSTN,ITGB5,CommuSpace_HS_06282,0.24059872329235077
Niche 5,52155,9,Fibroblast,Epithelial,COL4A1,CD44,CommuSpace_HS_01729,0.19209079444408417
Niche 5,52155,10,Fibroblast,Epithelial,THBS1,ITGA3,CommuSpace_HS_07374,0.18636201322078705
Niche 6,131365,1,Fibroblast,Endothelial,POSTN,ITGB3,CommuSpace_HS_06281,1.0374259948730469
Niche 6,131365,2,Fibroblast,Macrophage,SERPINE1,PLAUR,CommuSpace_HS_06869,0.9165515303611755
Niche 6,131365,3,Fibroblast,Endothelial,THBS1,ITGB3,CommuSpace_HS_07380,0.6982535123825073
Niche 6,131365,4,Fibroblast,Endothelial,TIMP3,ADAMTS4,CommuSpace_HS_07450,0.5029004812240601
Niche 6,131365,5,Fibroblast,Endothelial,CCN1,ITGB3,CommuSpace_HS_01082,0.47293201088905334
Niche 6,131365,6,Fibroblast,T cell,TIMP3,CD44,CommuSpace_HS_07452,0.4403688311576843
