method,niche,cell_type,n_cells,mean_local_fraction,global_mean_local_fraction,relative_enrichment_0to1,p_greater_raw,across_niche_entropy,entropy_rank
Composition only,1,Endothelial,42438,0.04031182378794927,0.04550870507955551,0.0,0.01102957744446797,0.8871976517632534,1
Composition only,1,Pericyte,42438,0.014994898429093904,0.01802580989897251,0.0,2.7134041068370823e-05,0.8858605038635566,2
Composition only,1,Macrophage,42438,0.07239471288500295,0.08074821531772614,0.0,2.3762184382518957e-30,0.8301007830674668,3
Composition only,1,Mast cell,42438,0.013935631542994115,0.012513366527855396,0.0014402878257076018,3.975805034723343e-30,0.8136336561967944,4
Composition only,1,Fibroblast,42438,0.09150808754717801,0.1119312047958374,0.0,6.056948159770369e-07,0.7997128692908353,5
Composition only,1,Myoepithelial,42438,0.002020791134538113,0.010875717736780643,0.0,1.0,0.7660488225762191,6
Composition only,1,B cell,42438,0.4264294019727288,0.0838341936469078,0.37394453885072454,0.0,0.6503855391835786,7
Composition only,1,Unassigned,42438,0.08957880390139066,0.24880528450012207,0.0,1.0,0.567868344913391,8
Composition only,1,T cell,42438,0.24283686628740112,0.20878617465496063,0.043036017803250594,0.0,0.5028137375533032,9
Composition only,1,Epithelial,42438,0.005988982805580353,0.17895963788032532,0.0,1.0,0.265116493534212,10
Composition only,2,Endothelial,59500,0.0816688077841135,0.04550870507955551,0.037884160966386714,0.0,0.8871976517632534,1
Composition only,2,Pericyte,59500,0.05241554831148898,0.01802580989897251,0.03502102087293515,0.0,0.8858605038635566,2
Composition only,2,Macrophage,59500,0.09144136635288787,0.08074821531772614,0.011632450477668255,0.0,0.8301007830674668,3
Composition only,2,Mast cell,59500,0.022264609511642726,0.012513366527855396,0.009874809831904453,0.0,0.8136336561967944,4
Composition only,2,Fibroblast,59500,0.43091656261573896,0.1119312047958374,0.3591899181037753,0.0,0.7997128692908353,5
Composition only,2,Myoepithelial,59500,0.014619967890833448,0.010875717736780643,0.003785419245347998,0.0,0.7660488225762191,6
Composition only,2,B cell,59500,0.044847541717956824,0.0838341936469078,0.0,1.0,0.6503855391835786,7
Composition only,2,Unassigned,59500,0.15121840626553193,0.24880528450012207,0.0,1.0,0.567868344913391,8
Composition only,2,T cell,59500,0.08754950653799597,0.20878617465496063,0.0,1.0,0.5028137375533032,9
Composition only,2,Epithelial,59500,0.023057683514209698,0.17895963788032532,0.0,1.0,0.265116493534212,10
Composition only,3,Endothelial,179396,0.03740719974046727,0.04550870507955551,0.0,1.0,0.8871976517632534,1
Composition only,3,Pericyte,179396,0.011310481977781868,0.01802580989897251,0.0,1.0,0.8858605038635566,2
Composition only,3,Macrophage,179396,0.05039130885230701,0.08074821531772614,0.0,1.0,0.8301007830674668,3
Composition only,3,Mast cell,179396,0.014328158833196587,0.012513366527855396,0.0018377891853831568,0.0,0.8136336561967944,4
Composition only,3,Fibroblast,179396,0.10059022585986516,0.1119312047958374,0.0,8.930847262497087e-103,0.7997128692908353,5
Composition only,3,Myoepithelial,179396,0.004932418795536959,0.010875717736780643,0.0,0.006816789332733605,0.7660488225762191,6
Composition only,3,B cell,179396,0.026206912991492873,0.0838341936469078,0.0,1.0,0.6503855391835786,7
Composition only,3,Unassigned,179396,0.6335426146972863,0.24880528450012207,0.5121672480631645,0.0,0.567868344913391,8
Composition only,3,T cell,179396,0.0707436203630171,0.20878617465496063,0.0,1.0,0.5028137375533032,9
Composition only,3,Epithelial,179396,0.050547057995009595,0.17895963788032532,0.0,1.0,0.265116493534212,10
Composition only,4,Endothelial,2851,0.028671372061115186,0.04550870507955551,0.0,0.9999877471524401,0.8871976517632534,1
Composition only,4,Pericyte,2851,0.017113405716688183,0.01802580989897251,0.0,2.1470996428554525e-11,0.8858605038635566,2
Composition only,4,Macrophage,2851,0.05342279092265358,0.08074821531772614,0.0,1.0,0.8301007830674668,3
Composition only,4,Mast cell,2851,0.00487002444005763,0.012513366527855396,0.0,1.0,0.8136336561967944,4
Composition only,4,Fibroblast,2851,0.09926142916014721,0.1119312047958374,0.0,8.368116525311672e-09,0.7997128692908353,5
Composition only,4,Myoepithelial,2851,0.22999904771482096,0.010875717736780643,0.2215326530749515,0.0,0.7660488225762191,6
Composition only,4,B cell,2851,0.008201614602263872,0.0838341936469078,0.0,1.0,0.6503855391835786,7
Composition only,4,Unassigned,2851,0.42406409273923007,0.24880528450012207,0.23330676404250675,0.0,0.567868344913391,8
Composition only,4,T cell,2851,0.032927311400008444,0.20878617465496063,0.0,1.0,0.5028137375533032,9
Composition only,4,Epithelial,2851,0.10146890913183017,0.17895963788032532,0.0,5.8220755996535026e-46,0.265116493534212,10
Composition only,5,Endothelial,30310,0.061182924022321616,0.04550870507955551,0.016421541672648223,0.0,0.8871976517632534,1
Composition only,5,Pericyte,30310,0.026407019312091953,0.01802580989897251,0.00853506084508243,0.0,0.8858605038635566,2
Composition only,5,Macrophage,30310,0.3567175142779819,0.08074821531772614,0.3002107791198375,0.0,0.8301007830674668,3
Composition only,5,Mast cell,30310,0.019676504256656926,0.012513366527855396,0.007253908346788231,0.0,0.8136336561967944,4
Composition only,5,Fibroblast,30310,0.12900056630585086,0.1119312047958374,0.01922076488014568,0.0,0.7997128692908353,5
Composition only,5,Myoepithelial,30310,0.009599827684710294,0.010875717736780643,0.0,0.9017712882092072,0.7660488225762191,6
Composition only,5,B cell,30310,0.06868198830841929,0.0838341936469078,0.0,1.9662971731581073e-132,0.6503855391835786,7
Composition only,5,Unassigned,30310,0.1256081435409481,0.24880528450012207,0.0,1.0,0.567868344913391,8
Composition only,5,T cell,30310,0.152537211316607,0.20878617465496063,0.0,1.7071900542928995e-13,0.5028137375533032,9
Composition only,5,Epithelial,30310,0.05058830130937075,0.17895963788032532,0.0,1.0,0.265116493534212,10
Composition only,6,Endothelial,204940,0.03792816126732492,0.04550870507955551,0.0,1.0,0.8871976517632534,1
Composition only,6,Pericyte,204940,0.013380063653534115,0.01802580989897251,0.0,1.0,0.8858605038635566,2
Composition only,6,Macrophage,204940,0.09469624470963703,0.08074821531772614,0.015173241323249553,0.0,0.8301007830674668,3
Composition only,6,Mast cell,204940,0.013093997899787508,0.012513366527855396,0.0005879890789102745,1.7713419445043858e-11,0.8136336561967944,4
Composition only,6,Fibroblast,204940,0.08736320181187096,0.1119312047958374,0.0,1.0,0.7997128692908353,5
Composition only,6,Myoepithelial,204940,0.002754596645110662,0.010875717736780643,0.0,1.0,0.7660488225762191,6
Composition only,6,B cell,204940,0.13743864252246982,0.0838341936469078,0.058509548376565836,0.0,0.6503855391835786,7
Composition only,6,Unassigned,204940,0.08431208139040752,0.24880528450012207,0.0,1.0,0.567868344913391,8
Composition only,6,T cell,204940,0.5144654924704726,0.20878617465496063,0.3863422424894518,0.0,0.5028137375533032,9
Composition only,6,Epithelial,204940,0.014567517574115094,0.17895963788032532,0.0,1.0,0.265116493534212,10
Composition only,7,Endothelial,14960,0.31800668063636534,0.04550870507955551,0.28549026127924776,0.0,0.8871976517632534,1
Composition only,7,Pericyte,14960,0.1244887568024654,0.01802580989897251,0.10841725636227609,0.0,0.8858605038635566,2
Composition only,7,Macrophage,14960,0.08544278405017837,0.08074821531772614,0.005106945381645822,1.5868260782497736e-144,0.8301007830674668,3
Composition only,7,Mast cell,14960,0.01755448725767921,0.012513366527855396,0.005105001344900054,3.7781556939694084e-153,0.8136336561967944,4
Composition only,7,Fibroblast,14960,0.13571479828382907,0.1119312047958374,0.026781251200841863,0.0,0.7997128692908353,5
Composition only,7,Myoepithelial,14960,0.0302787942451939,0.010875717736780643,0.019616418832060584,0.0,0.7660488225762191,6
Composition only,7,B cell,14960,0.03966532667890184,0.0838341936469078,0.0,1.0,0.6503855391835786,7
Composition only,7,Unassigned,14960,0.12644413994756828,0.24880528450012207,0.0,1.0,0.567868344913391,8
Composition only,7,T cell,14960,0.08825280883268793,0.20878617465496063,0.0,1.0,0.5028137375533032,9
Composition only,7,Epithelial,14960,0.0341514229218464,0.17895963788032532,0.0,1.0,0.265116493534212,10
Composition only,8,Endothelial,164715,0.024701624239431726,0.04550870507955551,0.0,1.0,0.8871976517632534,1
Composition only,8,Pericyte,164715,0.00828354595928921,0.01802580989897251,0.0,1.0,0.8858605038635566,2
Composition only,8,Macrophage,164715,0.044020574269154074,0.08074821531772614,0.0,1.0,0.8301007830674668,3
Composition only,8,Mast cell,164715,0.004281863161112215,0.012513366527855396,0.0,1.0,0.8136336561967944,4
Composition only,8,Fibroblast,164715,0.03980866480617977,0.1119312047958374,0.0,1.0,0.7997128692908353,5
Composition only,8,Myoepithelial,164715,0.02306200682640862,0.010875717736780643,0.012320280790886899,0.0,0.7660488225762191,6
Composition only,8,B cell,164715,0.013828612066421813,0.0838341936469078,0.0,1.0,0.6503855391835786,7
Composition only,8,Unassigned,164715,0.1414481283939058,0.24880528450012207,0.0,1.0,0.567868344913391,8
Composition only,8,T cell,164715,0.03819745373834133,0.20878617465496063,0.0,1.0,0.5028137375533032,9
Composition only,8,Epithelial,164715,0.6623675268010769,0.17895963788032532,0.5887747955848167,0.0,0.265116493534212,10
