method,niche,cell_type,n_cells,mean_local_fraction,global_mean_local_fraction,relative_enrichment_0to1,p_greater_raw,across_niche_entropy,entropy_rank
Full V1002,1,Myoepithelial,12046,0.010124513928683585,0.010875717736780643,0.0,0.9999999999999998,0.8118479869702404,1
Full V1002,1,Endothelial,12046,0.07888265941035655,0.04550870507955551,0.03496517330946448,0.0,0.752917471775784,2
Full V1002,1,Pericyte,12046,0.04244185948831154,0.01802580989897251,0.024864247934833064,0.0,0.7527477939148844,3
Full V1002,1,Macrophage,12046,0.15324609970144698,0.08074821531772614,0.07886618706275444,0.0,0.7249395679645082,4
Full V1002,1,Mast cell,12046,0.016368308736436844,0.012513366527855396,0.0039037916792776504,2.601274132398757e-32,0.6692578848400595,5
Full V1002,1,Fibroblast,12046,0.15365949132489082,0.1119312047958374,0.046987673426201505,0.0,0.6597359082030194,6
Full V1002,1,Unassigned,12046,0.14432239101353916,0.24880528450012207,0.0,1.0,0.5076794314326655,7
Full V1002,1,Epithelial,12046,0.16864839907705578,0.17895963788032532,0.0,3.8753519986936795e-193,0.5023817387509788,8
Full V1002,1,T cell,12046,0.16406174252720845,0.20878617465496063,0.0,0.945809556940562,0.3886919457906295,9
Full V1002,1,B cell,12046,0.06824453463677559,0.0838341936469078,0.0,3.3327807699292636e-07,0.37590569207362956,10
Full V1002,2,Myoepithelial,13214,0.14233549074458893,0.010875717736780643,0.13290521045828038,0.0,0.8118479869702404,1
Full V1002,2,Endothelial,13214,0.10125290381148458,0.04550870507955551,0.05840199666900987,0.0,0.752917471775784,2
Full V1002,2,Pericyte,13214,0.03403991031457662,0.01802580989897251,0.016308066615360807,0.0,0.7527477939148844,3
Full V1002,2,Macrophage,13214,0.10118600771596478,0.08074821531772614,0.022233073035592823,9.004704878366278e-155,0.7249395679645082,4
Full V1002,2,Mast cell,13214,0.02040457762897357,0.012513366527855396,0.007991207797458657,7.322970044937523e-238,0.6692578848400595,5
Full V1002,2,Fibroblast,13214,0.16583342810931548,0.1119312047958374,0.06069599968444587,0.0,0.6597359082030194,6
Full V1002,2,Unassigned,13214,0.10240897920899392,0.24880528450012207,0.0,1.0,0.5076794314326655,7
Full V1002,2,Epithelial,13214,0.23626645941334207,0.17895963788032532,0.06979781031097089,0.0,0.5023817387509788,8
Full V1002,2,T cell,13214,0.07323650909909685,0.20878617465496063,0.0,1.0,0.3886919457906295,9
Full V1002,2,B cell,13214,0.023035734354144657,0.0838341936469078,0.0,1.0,0.37590569207362956,10
Full V1002,3,Myoepithelial,213201,0.00734530789604113,0.010875717736780643,0.0,8.697037787465163e-129,0.8118479869702404,1
Full V1002,3,Endothelial,213201,0.04895777996224606,0.04550870507955551,0.0036135214855045118,5.063312381077214e-94,0.752917471775784,2
Full V1002,3,Pericyte,213201,0.01834635461337408,0.01802580989897251,0.0003264288608162433,1.0,0.7527477939148844,3
Full V1002,3,Macrophage,213201,0.05704767892993945,0.08074821531772614,0.0,1.0,0.7249395679645082,4
Full V1002,3,Mast cell,213201,0.014372595511757933,0.012513366527855396,0.0018827889614203579,0.0,0.6692578848400595,5
Full V1002,3,Fibroblast,213201,0.1522382777920276,0.1119312047958374,0.04538733171783588,0.0,0.6597359082030194,6
Full V1002,3,Unassigned,213201,0.5678982420638762,0.24880528450012207,0.42478062076277473,0.0,0.5076794314326655,7
Full V1002,3,Epithelial,213201,0.04250182635582534,0.17895963788032532,0.0,1.0,0.5023817387509788,8
Full V1002,3,T cell,213201,0.0646585864842159,0.20878617465496063,0.0,1.0,0.3886919457906295,9
Full V1002,3,B cell,213201,0.026633350567668794,0.0838341936469078,0.0,1.0,0.37590569207362956,10
Full V1002,4,Myoepithelial,14223,0.04779183570441625,0.010875717736780643,0.03732202114406432,0.0,0.8118479869702404,1
Full V1002,4,Endothelial,14223,0.07731500860782267,0.04550870507955551,0.03332277931994761,0.0,0.752917471775784,2
Full V1002,4,Pericyte,14223,0.027045945694742862,0.01802580989897251,0.009185715814151417,0.0,0.7527477939148844,3
Full V1002,4,Macrophage,14223,0.1188529078505471,0.08074821531772614,0.041451855248027095,0.0,0.7249395679645082,4
