C_state,I_state,cell_type,sender_availability,receiver_availability
0,0,B_Cells,0.016384603455662727,0.016384603455662727
0,0,CD4+_T_Cells,0.01947368122637272,0.01947368122637272
0,0,CD8+_T_Cells,0.036829497665166855,0.036829497665166855
0,0,DCIS_1,0.00022086963872425258,0.00022086963872425258
0,0,DCIS_2,0.0035299560986459255,0.0035299560986459255
0,0,Endothelial,0.06201868876814842,0.06201868876814842
0,0,IRF7+_DCs,0.0010207582963630557,0.0010207582963630557
0,0,Invasive_Tumor,0.19063836336135864,0.19063836336135864
0,0,LAMP3+_DCs,0.0001374088751617819,0.0001374088751617819
0,0,Macrophages_1,0.09355419874191284,0.09355419874191284
0,0,Macrophages_2,0.003911561332643032,0.003911561332643032
0,0,Mast_Cells,0.0015691042644903064,0.0015691042644903064
0,0,Myoepi_ACTA2+,0.004496575333178043,0.004496575333178043
0,0,Myoepi_KRT15+,0.0,0.0
0,0,Perivascular-Like,0.004850614815950394,0.004850614815950394
0,0,Prolif_Invasive_Tumor,0.039040569216012955,0.039040569216012955
0,0,Stromal,0.46577244997024536,0.46577244997024536
0,0,Stromal_&_T_Cell_Hybrid,0.004350354894995689,0.004350354894995689
0,0,T_Cell_&_Tumor_Hybrid,0.012355504557490349,0.012355504557490349
0,0,Unlabeled,0.039845794439315796,0.039845794439315796
0,1,B_Cells,0.01792754791676998,0.01792754791676998
0,1,CD4+_T_Cells,0.007049188017845154,0.007049188017845154
0,1,CD8+_T_Cells,0.03250705078244209,0.03250705078244209
0,1,DCIS_1,0.14904408156871796,0.14904408156871796
0,1,DCIS_2,0.036442603915929794,0.036442603915929794
0,1,Endothelial,0.056499797850847244,0.056499797850847244
0,1,IRF7+_DCs,0.0009372506174258888,0.0009372506174258888
0,1,Invasive_Tumor,0.003447970375418663,0.003447970375418663
0,1,LAMP3+_DCs,0.00033088610507547855,0.00033088610507547855
0,1,Macrophages_1,0.046442948281764984,0.046442948281764984
0,1,Macrophages_2,0.007919412106275558,0.007919412106275558
0,1,Mast_Cells,0.0004355815181042999,0.0004355815181042999
0,1,Myoepi_ACTA2+,0.1532309204339981,0.1532309204339981
0,1,Myoepi_KRT15+,0.008435343392193317,0.008435343392193317
0,1,Perivascular-Like,0.008319715037941933,0.008319715037941933
0,1,Prolif_Invasive_Tumor,0.0,0.0
0,1,Stromal,0.4431058168411255,0.4431058168411255
0,1,Stromal_&_T_Cell_Hybrid,0.006677466910332441,0.006677466910332441
0,1,T_Cell_&_Tumor_Hybrid,0.0006844128365628421,0.0006844128365628421
0,1,Unlabeled,0.020561862736940384,0.020561862736940384
0,2,B_Cells,0.014052932150661945,0.014052932150661945
0,2,CD4+_T_Cells,0.01591881364583969,0.01591881364583969
0,2,CD8+_T_Cells,0.045805588364601135,0.045805588364601135
0,2,DCIS_1,0.0027888428885489702,0.0027888428885489702
0,2,DCIS_2,0.09805524349212646,0.09805524349212646
0,2,Endothelial,0.05209102854132652,0.05209102854132652
0,2,IRF7+_DCs,0.001169330789707601,0.001169330789707601
0,2,Invasive_Tumor,0.0065703061409294605,0.0065703061409294605
0,2,LAMP3+_DCs,0.00048544412129558623,0.00048544412129558623
0,2,Macrophages_1,0.07881690561771393,0.07881690561771393
0,2,Macrophages_2,0.0033776401542127132,0.0033776401542127132
0,2,Mast_Cells,0.0015663467347621918,0.0015663467347621918
0,2,Myoepi_ACTA2+,0.1788322776556015,0.1788322776556015
0,2,Myoepi_KRT15+,0.008920514024794102,0.008920514024794102
0,2,Perivascular-Like,0.0026053304318338633,0.0026053304318338633
0,2,Prolif_Invasive_Tumor,4.256497777532786e-05,4.256497777532786e-05
0,2,Stromal,0.46056538820266724,0.46056538820266724
0,2,Stromal_&_T_Cell_Hybrid,0.00440118508413434,0.00440118508413434
0,2,T_Cell_&_Tumor_Hybrid,0.0006842971197329462,0.0006842971197329462
0,2,Unlabeled,0.02325022965669632,0.02325022965669632
0,3,B_Cells,0.061411917209625244,0.061411917209625244
0,3,CD4+_T_Cells,0.039088934659957886,0.039088934659957886
0,3,CD8+_T_Cells,0.038602061569690704,0.038602061569690704
0,3,DCIS_1,0.0013483542716130614,0.0013483542716130614
0,3,DCIS_2,0.0012637011241167784,0.0012637011241167784
0,3,Endothelial,0.035694535821676254,0.035694535821676254
0,3,IRF7+_DCs,0.023389358073472977,0.023389358073472977
0,3,Invasive_Tumor,0.008161337114870548,0.008161337114870548
0,3,LAMP3+_DCs,0.0012372232740744948,0.0012372232740744948
0,3,Macrophages_1,0.0682087391614914,0.0682087391614914
0,3,Macrophages_2,0.019304072484374046,0.019304072484374046
0,3,Mast_Cells,0.0018574841087684035,0.0018574841087684035
0,3,Myoepi_ACTA2+,0.006204703357070684,0.006204703357070684
0,3,Myoepi_KRT15+,0.00030811960459686816,0.00030811960459686816
0,3,Perivascular-Like,0.0033435532823204994,0.0033435532823204994
0,3,Prolif_Invasive_Tumor,0.00031452314578928053,0.00031452314578928053
0,3,Stromal,0.6171042323112488,0.6171042323112488
0,3,Stromal_&_T_Cell_Hybrid,0.005330241750925779,0.005330241750925779
0,3,T_Cell_&_Tumor_Hybrid,0.002199748530983925,0.002199748530983925
0,3,Unlabeled,0.06562696397304535,0.06562696397304535
0,4,B_Cells,0.02717863768339157,0.02717863768339157
0,4,CD4+_T_Cells,0.011634591035544872,0.011634591035544872
0,4,CD8+_T_Cells,0.0365527868270874,0.0365527868270874
0,4,DCIS_1,0.12104516476392746,0.12104516476392746
0,4,DCIS_2,0.004471712280064821,0.004471712280064821
0,4,Endothelial,0.08587034791707993,0.08587034791707993
0,4,IRF7+_DCs,0.0009174214210361242,0.0009174214210361242
0,4,Invasive_Tumor,0.0011508226161822677,0.0011508226161822677
0,4,LAMP3+_DCs,0.001271369750611484,0.001271369750611484
0,4,Macrophages_1,0.0662560760974884,0.0662560760974884
0,4,Macrophages_2,0.009078209288418293,0.009078209288418293
0,4,Mast_Cells,0.001390172983519733,0.001390172983519733
0,4,Myoepi_ACTA2+,0.11369462311267853,0.11369462311267853
0,4,Myoepi_KRT15+,0.002238024491816759,0.002238024491816759
0,4,Perivascular-Like,0.004648016765713692,0.004648016765713692
0,4,Prolif_Invasive_Tumor,0.00010629286407493055,0.00010629286407493055
0,4,Stromal,0.4809110760688782,0.4809110760688782
0,4,Stromal_&_T_Cell_Hybrid,0.006800314411520958,0.006800314411520958
0,4,T_Cell_&_Tumor_Hybrid,0.0002732683205977082,0.0002732683205977082
0,4,Unlabeled,0.02451069839298725,0.02451069839298725
0,5,B_Cells,0.07199770212173462,0.07199770212173462
0,5,CD4+_T_Cells,0.07062813639640808,0.07062813639640808
0,5,CD8+_T_Cells,0.08466307073831558,0.08466307073831558
0,5,DCIS_1,0.0004260436980985105,0.0004260436980985105
0,5,DCIS_2,0.001561192562803626,0.001561192562803626
0,5,Endothelial,0.038829926401376724,0.038829926401376724
0,5,IRF7+_DCs,0.0032534932252019644,0.0032534932252019644
0,5,Invasive_Tumor,0.008867689408361912,0.008867689408361912
0,5,LAMP3+_DCs,0.0027340545784682035,0.0027340545784682035
0,5,Macrophages_1,0.1075030267238617,0.1075030267238617
0,5,Macrophages_2,0.009365764446556568,0.009365764446556568
0,5,Mast_Cells,0.002090633613988757,0.002090633613988757
0,5,Myoepi_ACTA2+,0.010944652371108532,0.010944652371108532
0,5,Myoepi_KRT15+,0.0006402593571692705,0.0006402593571692705
0,5,Perivascular-Like,0.0037399146240204573,0.0037399146240204573
0,5,Prolif_Invasive_Tumor,0.0004962565726600587,0.0004962565726600587
0,5,Stromal,0.5272866487503052,0.5272866487503052
0,5,Stromal_&_T_Cell_Hybrid,0.01306839194148779,0.01306839194148779
0,5,T_Cell_&_Tumor_Hybrid,0.0008026540162973106,0.0008026540162973106
0,5,Unlabeled,0.041099727153778076,0.041099727153778076
0,6,B_Cells,0.027607455849647522,0.027607455849647522
