C_state,I_state_A,I_state_B,n_A,n_B,common_support_features,structural_zero_excluded_features,composition_JS,CCC_soft_JS,CCC_common_support_cosine
0,0,1,1952,521,2795,549,0.5232550866675546,0.7856889535643086,0.74534759328263
0,0,2,1952,3035,3083,261,0.4759520860727114,0.6999397921601911,0.707964584198985
0,0,3,1952,5152,3122,222,0.37024587410776233,0.5595530523292065,0.4985304099160094
0,0,4,1952,3042,3032,312,0.47823478074527415,0.7202360758347628,0.7127838067928922
0,0,5,1952,13325,3122,222,0.36999520099922334,0.5437131884184295,0.4340856187591068
0,0,6,1952,13442,3122,222,0.3301021564072956,0.49795761997977395,0.4061677590603563
0,0,7,1952,10529,3122,222,0.3951641845988664,0.6231416915930338,0.5560084609900726
0,1,2,521,3035,3017,327,0.2921423793068296,0.5989122421073,0.5418621201574509
0,1,3,521,5152,2985,359,0.45050019691295656,0.7495515368439458,0.8115254020312588
0,1,4,521,3042,3004,340,0.14669718978198912,0.500350292633163,0.30253445808805535
0,1,5,521,13325,3017,327,0.4533265381878409,0.7483297087554152,0.8056946692777707
0,1,6,521,13442,3003,341,0.4181143529920343,0.7175179141784386,0.7634910491099198
0,1,7,521,10529,3003,341,0.45912604740466695,0.7825893464148382,0.8351033248413009
0,2,3,3035,5152,3273,71,0.4100501138742891,0.6850275199348572,0.7000255139611694
0,2,4,3035,3042,3254,90,0.32551800618003457,0.690220864353429,0.656788700405071
0,2,5,3035,13325,3305,39,0.39421321739056114,0.6442778689826177,0.6351718446793186
0,2,6,3035,13442,3291,53,0.3878272348045835,0.6250624360414869,0.6042146682057881
0,2,7,3035,10529,3291,53,0.4274978833097293,0.7148497154674128,0.7207239521435338
0,3,4,5152,3042,3222,122,0.38017973057781035,0.6511546128302977,0.653177551567726
0,3,5,5152,13325,3312,32,0.16641939276333384,0.395384629139259,0.22507765692945636
0,3,6,5152,13442,3312,32,0.2267362759731584,0.44651053955605546,0.36181403346823904
0,3,7,5152,10529,3312,32,0.15174394568711908,0.4424260714550153,0.27662771548276877
0,4,5,3042,13325,3254,90,0.37855788220226205,0.6500696964330575,0.6236772818268093
0,4,6,3042,13442,3240,104,0.3464552634574946,0.5932710107396139,0.5486593653599925
0,4,7,3042,10529,3240,104,0.38665256766230366,0.6759491507885808,0.6624840950078981
0,5,6,13325,13442,3330,14,0.273760919417329,0.46357940623676847,0.3337333476712857
0,5,7,13325,10529,3330,14,0.20352358457352454,0.46248364863104247,0.2681876599997569
0,6,7,13442,10529,3330,14,0.2145948397729909,0.45496765473609513,0.3339227536079211
1,0,1,35926,164,1627,1717,0.5188555750141607,0.8593550459779637,0.8896911671444945
1,0,2,35926,817,2620,724,0.4616339875470256,0.6857894696643086,0.7204879366470585
1,0,3,35926,477,2892,452,0.2346610153268295,0.48489920809378745,0.45904835531901356
1,0,4,35926,17,757,2587,0.571905777597958,0.8588758013330315,0.7831821885600739
1,0,5,35926,1304,3025,319,0.31409559348965105,0.48910411658217423,0.4145637738354431
1,0,6,35926,6315,2960,384,0.19429772347302035,0.4582834367348081,0.31105584359297167
1,0,7,35926,342,2854,490,0.28931630429027316,0.5628159707563427,0.47224427349073705
1,1,2,164,817,1610,1734,0.27487201159319374,0.6774516154857703,0.5760827836008242
1,1,3,164,477,1460,1884,0.48822350688700855,0.8635133411496633,0.889282617006905
1,1,4,164,17,609,2735,0.19569504640296728,0.49294701505807753,0.4315929439404046
1,1,5,164,1304,1542,1802,0.5283033718516484,0.8566333720915604,0.9138219019508265
1,1,6,164,6315,1450,1894,0.5419500967355705,0.8883657638074983,0.8651028231516217
1,1,7,164,342,1407,1937,0.5354675110816814,0.8836635914496125,0.8326766059545706
1,2,3,817,477,2333,1011,0.4807760915041699,0.7515815484563844,0.8128074665102808
1,2,4,817,17,757,2587,0.3893006865465486,0.6943509665363641,0.6168237305636425
1,2,5,817,1304,2453,891,0.5338004090909345,0.7647357235622149,0.8352703852755343
1,2,6,817,6315,2423,921,0.5067468283014988,0.7711820311098628,0.8021900957108083
1,2,7,817,342,2309,1035,0.5206670613388511,0.7891407728545331,0.851701035606508
1,3,4,477,17,684,2660,0.5272866345519406,0.8613490285200891,0.8054249924741628
1,3,5,477,1304,2854,490,0.19164981656298144,0.48282093512290986,0.37890615296257246
1,3,6,477,6315,2754,590,0.18413305585517356,0.5310798706332833,0.47386849762293104
1,3,7,477,342,2722,622,0.1947215730885617,0.5454339668538365,0.4523585167581292
1,4,5,17,1304,704,2640,0.5728110883252537,0.8795344719145338,0.8149234209847052
1,4,6,17,6315,669,2675,0.5841498031799824,0.8928707537043434,0.7906853788445554
1,4,7,17,342,626,2718,0.573269695158596,0.8906731231018895,0.7574461793290208
1,5,6,1304,6315,2873,471,0.2337363601469989,0.49777140586865726,0.3956906200054835
1,5,7,1304,342,2783,561,0.1717241546042056,0.48862859439338263,0.33770816562899797
1,6,7,6315,342,2807,537,0.2118099084078339,0.538202439335805,0.42424780771411297
2,0,1,106,583,2226,1118,0.5490069637300367,0.7431050531822602,0.7194752096292792
2,0,2,106,4973,2465,879,0.32468888374945054,0.47690539691133743,0.5334348151333335
2,0,3,106,109,1844,1500,0.5225473742977588,0.5970431552588169,0.6342293662269362
2,0,4,106,929,2333,1011,0.5639537380083569,0.7792783724631863,0.7089784930871972
2,0,5,106,582,2005,1339,0.5383324006536183,0.588410481791661,0.5497963284454483
2,0,6,106,384,2426,918,0.3115105700276874,0.4692018199430902,0.44672272265851976
2,0,7,106,85,2306,1038,0.3069293840498808,0.5795285424712722,0.5413340938626157
2,1,2,583,4973,2945,399,0.401531564827761,0.6486206387860041,0.5549542233699916
2,1,3,583,109,2248,1096,0.36262928541626893,0.7246931145483098,0.7808729616132547
2,1,4,583,929,2855,489,0.1651381840378371,0.4806005983990547,0.26934478806641293
2,1,5,583,582,2500,844,0.3377999108494266,0.683898799485046,0.7578917332093913
2,1,6,583,384,2686,658,0.42380792302463904,0.6916482253399321,0.6996976739075116
2,1,7,583,85,2590,754,0.4518688961722775,0.7577233874292548,0.7974133752669076
2,2,3,4973,109,2304,1040,0.32501622925030593,0.6170982603339499,0.6651870190558529
2,2,4,4973,929,3061,283,0.43124012284900776,0.7560030228497105,0.7533815476026808
2,2,5,4973,582,2648,696,0.3427414109504038,0.561461789012967,0.5637399954923715
2,2,6,4973,384,2941,403,0.192543876916562,0.4721181366045793,0.4559177770016155
2,2,7,4973,85,2789,555,0.2414218101596844,0.5635925129920487,0.5523444588693647
2,3,4,109,929,2255,1089,0.32868290187250543,0.6577687773617397,0.5839125735743544
2,3,5,109,582,2252,1092,0.15761232298169148,0.439312178496781,0.3018900238598401
2,3,6,109,384,2329,1015,0.32760596115116547,0.5379396650492783,0.49198374533593414
2,3,7,109,85,2084,1260,0.36101559237792863,0.5547646276885532,0.5283554068232373
2,4,5,929,582,2560,784,0.32434932744234135,0.627456254642184,0.6369766284895222
2,4,6,929,384,2768,576,0.40182695450215145,0.6456650903892419,0.5778372808195315
2,4,7,929,85,2638,706,0.441055656736058,0.7376408796075369,0.7460373621656579
2,5,6,582,384,2489,855,0.36231061666164627,0.5086602151757049,0.40378589999858205
2,5,7,582,85,2304,1040,0.3713288758319278,0.5503620457877513,0.4406654267202422
2,6,7,384,85,2591,753,0.17230018074275424,0.5048216753908403,0.4255725481470205
3,0,1,456,30,1563,1781,0.49747718594879725,0.7422940283953378,0.4958788237534749
3,0,2,456,232,2753,591,0.453414996040237,0.6201906883595726,0.6012718233024259
3,0,3,456,276,2820,524,0.3371843737959146,0.5484604618630418,0.46140461236477215
3,0,4,456,146,2186,1158,0.4787615133489317,0.7134503622024724,0.3039972834015744
3,0,5,456,1171,2852,492,0.32831655496402934,0.4752088751785108,0.34510158384504563
3,0,6,456,3108,2879,465,0.279337179091367,0.41411829488732077,0.29975929134689006
3,0,7,456,1134,2866,478,0.34748653338722857,0.5950026891603789,0.5051395250879374
3,1,2,30,232,1875,1469,0.32137501801716917,0.5497583159388114,0.4820088999882629
3,1,3,30,276,1712,1632,0.4070754765222808,0.69338747148391,0.5785287632707317
3,1,4,30,146,1873,1471,0.19585942154135963,0.5299908683707489,0.3720116400601141
3,1,5,30,1171,1738,1606,0.4348016897418742,0.690112715900704,0.6873516704406482
3,1,6,30,3108,1919,1425,0.3861004420740913,0.6389508752890176,0.6100532894608224
3,1,7,30,1134,1752,1592,0.4104564864302642,0.7025206470412881,0.7099255151764976
3,2,3,232,276,2928,416,0.38771455398488697,0.6138917568164888,0.6100229910374277
3,2,4,232,146,2517,827,0.3435864578582243,0.6667933852552658,0.6032563852858648
3,2,5,232,1171,2984,360,0.384286475941201,0.5741610424907627,0.5354499499561306
3,2,6,232,3108,3159,185,0.36809806779846327,0.5409708913815391,0.4866031368771654
3,2,7,232,1134,2998,346,0.3928544773775728,0.6547718513203081,0.6355961270402548
3,3,4,276,146,2360,984,0.3578894726725515,0.6220599646978336,0.5799295902997059
3,3,5,276,1171,3030,314,0.14486642487267296,0.3468628836708135,0.22156949773313317
3,3,6,276,3108,3057,287,0.19697778570844707,0.3596396546788487,0.2720236149692392
3,3,7,276,1134,3044,300,0.14603282288086517,0.4076491744566943,0.29819871947152166
3,4,5,146,1171,2406,938,0.37706944736256875,0.6189185244810295,0.5313014168292263
3,4,6,146,3108,2601,743,0.36853866964795867,0.5848610823746706,0.5122109609615786
3,4,7,146,1134,2420,924,0.35538683462255294,0.6272994184130475,0.5765417896465402
3,5,6,1171,3108,3136,208,0.23638176954510914,0.3367826891956498,0.2072703139029055
3,5,7,1171,1134,3136,208,0.1789772378724534,0.4287902816027182,0.2502591095686696
3,6,7,3108,1134,3150,194,0.19950444984021634,0.39058985537588925,0.26767066635990455
4,0,1,4,12233,902,2442,0.4302039174637844,0.5759406438569299,0.5110866918962164
4,0,2,4,114,801,2543,0.3709538786779049,0.6287483445328328,0.6062928038391167
4,0,3,4,2,545,2799,0.4113888099571186,0.7661281654255659,0.3453688373658451
4,0,4,4,5941,902,2442,0.3023066533295095,0.47633418996596144,0.5737312671194685
4,0,5,4,5,708,2636,0.3376454831507928,0.6070768571313817,0.34781840090395777
4,0,6,4,26,787,2557,0.3645274864830854,0.5958273235986058,0.6285151855815727
4,0,7,4,21,663,2681,0.42765404799053863,0.6124928727334024,0.42303692927481684
4,1,2,12233,114,2233,1111,0.28314877290061713,0.3829996226446664,0.22647200525038036
4,1,3,12233,2,1589,1755,0.5948856685568897,0.8560196120527171,0.6273140066423464
4,1,4,12233,5941,3197,147,0.2640919328312853,0.5282551900787779,0.2794989158379134
4,1,5,12233,5,1610,1734,0.48006551692027616,0.6105875835829676,0.4936746254854353
4,1,6,12233,26,2263,1081,0.43709156306021746,0.5899563478127604,0.4054686735750549
4,1,7,12233,21,1680,1664,0.4831332026105669,0.6544576669091917,0.5132160386477389
4,2,3,114,2,1349,1995,0.45731727949304807,0.7351510410701217,0.5531346037535809
4,2,4,114,5941,2255,1089,0.2002938183528904,0.4423017344529186,0.32438795061368286
4,2,5,114,5,1523,1821,0.2806270162740077,0.4738622241499842,0.4181173807763853
4,2,6,114,26,1895,1449,0.245587301235114,0.44845517097035015,0.2925247895161981
4,2,7,114,21,1526,1818,0.3422888780724453,0.5426380110965319,0.4358817865841118
4,3,4,2,5941,1636,1708,0.4457973083533838,0.6100354770079208,0.5452517961375999
4,3,5,2,5,1230,2114,0.31091565712062724,0.5845986876752882,0.44665292127106726
4,3,6,2,26,1536,1808,0.3572008172260006,0.5830893871585664,0.453539796176622
4,3,7,2,21,1304,2040,0.35225863939765695,0.4962195034572673,0.4060073762230392
4,4,5,5941,5,1610,1734,0.28746255153790645,0.42418734411987785,0.37810136929902394
4,4,6,5941,26,2323,1021,0.25527583661197667,0.3588618596931952,0.2556122624362227
4,4,7,5941,21,1680,1664,0.345273491295095,0.47941342039214235,0.4273291687586753
4,5,6,5,26,1550,1794,0.191440816449787,0.3738219176663258,0.3657694127881743
4,5,7,5,21,1408,1936,0.247667645018031,0.41285910363725137,0.35403568997662027
4,6,7,26,21,1583,1761,0.2510896724088782,0.42615495641762774,0.3476382195720571
5,0,1,583,896,1895,1449,0.3025806507001755,0.6424729712163242,0.6442538777228717
5,0,2,583,11436,2413,931,0.2850617022189261,0.452746760582902,0.4878649056734695
5,0,3,583,3,810,2534,0.41810275848887324,0.6459391219324183,0.6811249322695295
5,0,4,583,21,1223,2121,0.4943848823983667,0.6951482510770748,0.7559250874464143
5,0,5,583,64,1839,1505,0.4847906204043055,0.6145558467638257,0.542879440633846
5,0,6,583,108,2017,1327,0.4207477576692499,0.603176938049058,0.6264461942649413
5,0,7,583,22,1840,1504,0.49641299060029437,0.664063497051572,0.6570277757429426
5,1,2,896,11436,2192,1152,0.26350019374779887,0.52392569500131,0.4011928651888703
5,1,3,896,3,810,2534,0.4096681208315759,0.6352125884536358,0.768775680140537
5,1,4,896,21,1312,2032,0.3954452628018612,0.5031015258804487,0.34335216058415885
5,1,5,896,64,1847,1497,0.4641310857483812,0.7211459343558781,0.6897943868127703
5,1,6,896,108,2007,1337,0.449218740954849,0.7077399049163022,0.7177981198417576
5,1,7,896,22,1767,1577,0.518152433439504,0.7575984569376626,0.5304167813385564
5,2,3,11436,3,810,2534,0.4145724601248422,0.6519087985852527,0.7322494092964971
5,2,4,11436,21,1312,2032,0.3334893070617639,0.5464462674382322,0.4913746706579387
5,2,5,11436,64,2238,1106,0.37270161791225803,0.5110167865153253,0.43287118830537763
5,2,6,11436,108,2287,1057,0.2740798606228485,0.4792158957646262,0.4322144412397041
5,2,7,11436,22,2360,984,0.37833821634846787,0.5739828088517844,0.522983154922823
5,3,4,3,21,810,2534,0.4384811823325881,0.4438854454951481,0.6245372544094238
5,3,5,3,64,802,2542,0.3849913306072368,0.6233221992713069,0.46873896397564985
5,3,6,3,108,810,2534,0.3984612303378128,0.6173264699405823,0.6460184900794015
5,3,7,3,22,728,2616,0.42900501047891326,0.6426888257620272,0.5305404079320998
5,4,5,21,64,1276,2068,0.41758396747362236,0.6905075999951635,0.6835271978580637
5,4,6,21,108,1245,2099,0.2918509680977072,0.5742118118192292,0.5471134850166963
5,4,7,21,22,1125,2219,0.39750050656960595,0.6867430892749087,0.4049818891846855
5,5,6,64,108,1869,1475,0.35260733647529635,0.5924224427558369,0.5526089628531723
5,5,7,64,22,1877,1467,0.22469238537091282,0.5155869333212876,0.3636047604769326
5,6,7,108,22,1904,1440,0.286583514337682,0.5447197084245535,0.43268674121295625
6,0,1,424,94,2413,931,0.5538857309302384,0.7653486730131841,0.7995080701899707
6,0,2,424,538,3088,256,0.37607176965666195,0.6436059677729588,0.6739742791711774
6,0,3,424,1962,3031,313,0.3779787760222846,0.61547069083442,0.5652298645206488
6,0,4,424,101,2433,911,0.4625443055437236,0.7229432445313454,0.5272975110037931
6,0,5,424,13043,3158,186,0.33910750394448913,0.5219843725713329,0.4178351398597677
6,0,6,424,1423,3070,274,0.3527096567377638,0.552100066249411,0.45362371707241866
6,0,7,424,2643,3099,245,0.35570404582821386,0.6421425585967669,0.5795441965816854
6,1,2,94,538,2486,858,0.4885924941273603,0.6667263858833352,0.619411264349861
6,1,3,94,1962,2384,960,0.6600396568300242,0.82049401971083,0.8561429030750392
6,1,4,94,101,2505,839,0.3324133867624352,0.5603954989055185,0.40185051751451006
6,1,5,94,13043,2537,807,0.6410686480990171,0.7997654683765062,0.8449427384712223
6,1,6,94,1423,2424,920,0.6807568666301421,0.8320954556546432,0.8539628687165103
6,1,7,94,2643,2464,880,0.6402024738545483,0.8415022342181283,0.8541429844530228
6,2,3,538,1962,3034,310,0.40305946154556127,0.6747994154669313,0.6425440750571034
6,2,4,538,101,2481,863,0.36032555821318407,0.7268774486945506,0.6081535013819206
6,2,5,538,13043,3222,122,0.35459875657746887,0.5888232422081147,0.5212500917463543
6,2,6,538,1423,3121,223,0.386937898199852,0.6346332954837504,0.6035864210840595
6,2,7,538,2643,3129,215,0.3841111270625624,0.6944948276082572,0.6692398780942546
6,3,4,1962,101,2390,954,0.5070164621778506,0.7115912840790601,0.5794446327476632
6,3,5,1962,13043,3138,206,0.13754869978747367,0.33517944286459106,0.20071251348386554
6,3,6,1962,1423,3070,274,0.24118848392932501,0.5107063511418238,0.425982315309386
6,3,7,1962,2643,3099,245,0.14812812568762332,0.4323155425978288,0.30351667705247676
6,4,5,101,13043,2543,801,0.47419931910256435,0.6616908707453543,0.5652842410210277
6,4,6,101,1423,2430,914,0.5173295016137367,0.7161695233532028,0.6475137446925888
6,4,7,101,2643,2470,874,0.4794978503444898,0.727400098120826,0.6574833066380239
6,5,6,13043,1423,3218,126,0.16800373571388288,0.38691853545011595,0.254679679563128
6,5,7,13043,2643,3233,111,0.15081086012387848,0.4495623594901453,0.25945555313364754
6,6,7,1423,2643,3162,182,0.22930968651212827,0.5196736702165783,0.39962902547223156
7,0,1,1416,722,2244,1100,0.3498859143940786,0.8441681295037271,0.8705041272845047
7,0,2,1416,580,2401,943,0.33680016301142446,0.7368767352353126,0.7755157574885051
