cell_index,C_state,I_state,total_opportunity,n_supported_sender_receiver_pairs
0,5,2,209.72736,16
1,5,2,147.53717,24
2,5,2,265.7619,16
3,5,2,159.68674,24
4,5,2,227.12285,16
5,7,2,294.1413,16
6,5,1,210.07648,24
7,5,1,176.56357,24
8,7,2,318.768,16
9,7,2,240.87944,16
10,7,2,230.47346,16
11,5,1,177.29033,24
12,7,2,257.3127,16
13,5,2,238.01169,16
14,5,1,160.90749,24
15,5,1,180.63113,25
16,5,2,184.24268,16
17,5,2,229.45763,15
18,5,2,234.74237,16
19,5,2,237.86667,16
20,5,2,263.50604,16
21,1,2,273.18817,16
22,7,1,306.24017,33
23,7,1,298.94162,33
24,7,1,282.04153,33
25,7,1,275.0104,33
26,7,1,226.98785,33
27,5,1,224.54465,33
28,5,1,182.5582,34
29,5,1,130.633,34
30,7,4,148.66048,34
31,7,1,187.80688,24
32,7,1,243.86848,24
33,7,2,231.38516,34
34,7,2,227.961,34
35,7,4,169.15312,34
36,7,2,262.36023,34
37,7,2,272.7165,34
38,7,2,245.60587,34
39,7,4,271.93646,34
40,7,2,265.23727,34
41,7,4,288.32684,34
42,7,4,283.63336,33
43,7,4,257.1775,34
44,7,2,348.47256,24
45,7,2,281.268,24
46,7,2,201.975,34
47,1,2,269.25168,24
48,1,2,237.21104,16
49,7,2,271.6603,16
50,5,2,276.63513,16
51,7,2,315.14368,23
52,7,2,295.4099,24
53,7,2,292.9802,15
54,7,2,307.0619,15
55,7,1,309.8863,33
56,7,2,235.66986,16
57,1,2,291.43005,16
58,7,1,239.77687,33
59,7,1,280.94534,33
60,7,2,315.61835,45
61,7,1,319.39233,33
62,7,1,323.7557,33
63,7,1,307.64496,33
64,7,1,255.78717,34
65,5,1,167.1037,24
66,2,2,28.744434,46
67,5,2,120.71082,4
68,5,2,112.2746,9
69,5,2,56.526302,35
70,5,2,76.79675,46
71,5,2,84.75496,34
72,5,2,39.153324,46
73,5,6,40.535175,61
74,5,2,94.62739,46
75,5,6,79.06931,46
76,5,2,150.53178,23
77,5,0,133.60954,34
78,5,0,134.89842,33
79,5,0,173.51982,14
80,5,0,136.56755,33
81,5,2,169.12383,15
82,5,0,184.2884,14
83,5,0,156.64601,15
84,5,2,198.98688,4
85,5,0,194.13277,8
86,1,2,204.27243,4
87,5,0,180.94695,8
88,1,2,204.7988,4
89,5,2,196.49548,4
90,1,2,189.49388,4
91,5,2,168.70999,4
92,5,2,177.5852,4
93,1,2,174.50433,4
94,1,2,163.62228,4
95,5,2,101.32676,15
96,1,2,157.19203,4
97,1,2,160.41255,4
98,5,2,153.87137,4
99,1,2,155.3294,4
100,1,2,148.22308,4
101,1,2,154.4031,4
102,5,2,152.88443,4
103,5,2,144.45155,4
104,5,2,144.61082,4
105,5,2,117.64857,16
106,1,2,143.7049,4
107,5,2,139.94624,4
108,5,2,139.23068,4
109,1,2,141.13228,8
110,5,2,141.8655,8
111,5,2,144.95697,8
112,5,2,151.43085,16
113,5,2,138.89664,4
114,5,2,128.57468,4
115,5,2,144.25919,8
116,5,2,109.97667,9
117,5,2,148.75966,8
118,5,2,135.43033,8
119,5,1,149.36069,23
120,5,2,130.42113,4
121,5,2,118.28645,4
122,5,2,153.37529,14
123,5,2,89.11731,4
124,5,2,147.72356,8
125,5,2,87.695114,8
126,5,2,131.67474,4
127,5,2,113.93399,8
128,5,2,127.51761,4
129,5,2,96.45472,9
130,5,2,142.90367,8
131,5,2,115.41155,9
132,5,2,116.63795,15
133,5,2,97.14581,15
134,5,2,104.61127,15
135,5,2,102.18822,15
136,5,2,111.82258,15
137,5,2,103.774185,15
138,5,2,108.425095,15
139,5,2,94.27695,15
140,5,2,101.47928,15
141,5,2,89.209724,15
142,5,2,108.38548,15
143,5,2,75.31404,15
144,5,2,83.08,15
145,5,2,91.818665,15
146,5,2,80.59236,15
147,5,2,87.30691,8
148,5,2,72.911995,9
149,5,2,80.64845,4
150,5,2,87.03208,4
151,5,2,86.29355,4
152,5,2,82.815025,4
153,5,2,72.85131,4
