C_state,category,cell_A,cell_B,composition_JS,CCC_soft_JS,CCC_common_support_cosine,common_support_features,structural_zero_excluded_features,opportunity_relative_difference
0,same_I,146761,128874,0.4407546818256378,0.1303272694349289,0.33378639357917816,522,2822,0.1673375964164734
0,same_I,36418,76059,0.36809083819389343,0.26238393783569336,0.4750517962572177,592,2752,0.21331259608268738
0,same_I,106196,76281,0.4901851415634155,0.4022798538208008,0.4314393359698848,124,3220,0.9782185554504395
0,same_I,76306,8677,0.268354207277298,0.40298813581466675,0.5826040553675762,209,3135,0.6510340571403503
0,same_I,165943,129404,0.20255938172340393,0.5662344098091125,0.37464054424121374,152,3192,0.3801928162574768
0,same_I,7341,95308,0.34293821454048157,0.5039938688278198,0.39246333015781987,121,3223,0.6641861796379089
0,same_I,151222,150649,0.4647563099861145,0.4561566114425659,0.3207610743341903,343,3001,0.16939614713191986
0,same_I,37990,76855,0.3653317987918854,inf,0.2716022064807925,692,2652,0.24581438302993774
0,same_I,143924,160027,0.30909261107444763,0.46307969093322754,0.5204884502295376,376,2968,0.5108966827392578
0,same_I,72500,98392,0.4434056580066681,0.5986420512199402,0.45020096044155744,117,3227,0.7539769411087036
0,same_I,132034,146055,0.33596405386924744,0.22553212940692902,0.13983247026801005,196,3148,0.12485437840223312
0,same_I,60028,2441,0.4887431859970093,inf,0.4870076977466139,430,2914,0.3347747325897217
0,same_I,106749,116145,0.6606395840644836,0.7299540042877197,0.42492532726961374,60,3284,0.5476068258285522
0,same_I,139422,90635,0.5473355054855347,0.5556023120880127,0.17600708926819564,144,3200,0.6735690832138062
0,same_I,73744,79012,0.6066431999206543,0.4786231517791748,0.3752429863901272,126,3218,0.5485258102416992
0,same_I,162788,73343,0.49402421712875366,inf,0.45142974903338506,477,2867,0.5039840340614319
0,same_I,120007,8674,0.5423128604888916,0.5953652858734131,0.4323290875987973,137,3207,0.8109337687492371
0,same_I,115391,138262,0.4415207505226135,0.5206006765365601,0.3370352690776618,234,3110,0.3984279930591583
0,same_I,94160,79588,0.4707287847995758,0.4337880611419678,0.3054518157800452,459,2885,0.09473268687725067
0,same_I,36745,6310,0.3790339231491089,0.025019509717822075,0.14588133478614052,498,2846,0.1596735268831253
0,same_I,8205,119012,0.4755078852176666,0.4988079071044922,0.44932376878916735,360,2984,0.24045103788375854
0,same_I,126760,4918,0.40641921758651733,0.6733475923538208,0.9753310908063364,81,3263,0.9750666618347168
0,same_I,81393,77770,0.6517631411552429,0.5127145051956177,0.4502310223622519,55,3289,0.9559437036514282
0,same_I,94454,111130,0.6436082124710083,0.6830608248710632,0.4835966472154165,216,3128,0.5190749764442444
0,same_I,109952,77793,0.6245162487030029,0.6281155943870544,0.3126190903465378,124,3220,0.28847309947013855
0,same_I,103716,76270,0.5089693069458008,0.7120012640953064,0.14138608071120617,56,3288,0.2646973729133606
0,same_I,132724,81908,0.7188464403152466,0.5820316672325134,0.4309767933853521,55,3289,0.9514036774635315
0,same_I,163373,13546,0.5203779935836792,0.6521424055099487,0.22427592354137993,81,3263,0.920025110244751
0,same_I,122828,114661,0.6168952584266663,0.7727318406105042,0.5078098698925433,242,3102,0.6141148209571838
0,same_I,133498,152078,0.6199345588684082,0.5338907837867737,0.7621307845503817,329,3015,0.7975917458534241
0,same_I,118816,94001,0.5547221899032593,0.5873713493347168,0.361621388791886,137,3207,0.14623679220676422
0,same_I,115053,23691,0.3439616560935974,0.25462761521339417,0.379060179970232,836,2508,0.743547260761261
0,same_I,132075,113143,0.3999188542366028,0.4604838490486145,0.31495376440585876,152,3192,0.8118876218795776
0,same_I,113384,161041,0.5453603863716125,0.4774792194366455,0.16129459581251526,81,3263,0.43036121129989624
0,same_I,139837,81448,0.4011758267879486,0.4531460106372833,0.42251324330348716,320,3024,0.865246593952179
0,same_I,105625,96482,0.5054751038551331,0.4501672387123108,0.29192095904313475,226,3118,0.8250035047531128
0,same_I,104146,116587,0.3554953336715698,inf,0.5461348065033994,333,3011,0.7774043083190918
0,same_I,72516,106809,0.4297824203968048,0.7028753161430359,0.46160551538306294,259,3085,0.0853409394621849
0,same_I,118342,102374,0.12676018476486206,0.5277363657951355,0.46543174612035954,81,3263,0.3994970917701721
