C_state,region_A,region_B,I_state_A,I_state_B,n_A,n_B,composition_JS,CCC_soft_JS,CCC_common_support_cosine,common_support_features,structural_zero_excluded_features,total_opportunity_median_A,total_opportunity_median_B,display_score
7,1394,1396,0,1,51,57,0.15977620465536882,,0.902288010681587,224,3120,473.7015075683594,475.8179626464844,0.9972799101938604
7,1394,4701,0,1,51,95,0.20476155825649187,,0.8263680093069306,299,3045,473.7015075683594,76.63932800292969,0.9793834463106084
7,1394,3180,0,1,51,36,0.24579713485229385,,0.9964771378750051,260,3084,473.7015075683594,119.1571044921875,0.9544924657829972
0,4153,4184,3,7,31,32,0.18450337713688533,0.6311028739554745,0.7270999201683883,339,3005,7.541404724121094,10.957883834838867,0.9477785933249859
0,917,3922,3,5,120,32,0.22676309496976566,0.6243518146966809,0.7467306966067753,1013,2331,2.369907855987549,16.425308227539062,0.9389490954621994
0,917,4184,3,7,120,32,0.2556897082891914,0.7062455013457507,0.8558537952911487,339,3005,2.369907855987549,10.957883834838867,0.9369198221147619
7,1359,3180,2,1,31,36,0.2483476230306035,0.9161860771397184,0.8026911314031889,101,3243,436.34332275390625,119.1571044921875,0.9356029532403609
0,3892,5938,3,6,47,101,0.23963292262538083,0.6386389388652166,0.7552300569703573,885,2459,73.59689331054688,26.278905868530273,0.9303354777427573
0,636,917,7,3,40,120,0.19744544092706262,0.5592484937341449,0.7012371174541161,1273,2071,41.72966003417969,2.369907855987549,0.9241397176287725
0,820,4773,3,5,305,34,0.2604603190119838,0.6443212450496364,0.8133166587769596,1836,1508,7.126079082489014,59.4633674621582,0.9213980398082984
0,1046,4184,3,7,40,32,0.25304922062778074,0.6741137036305592,0.7724327540928768,339,3005,1.6591744422912598,10.957883834838867,0.9199948188765598
7,330,4701,0,1,525,95,0.26873114585980923,0.9060967358051945,0.8843107698677373,924,2420,54.030757904052734,76.63932800292969,0.918397305815811
7,7,3180,2,1,154,36,0.2683153168996893,0.8449648230057628,0.8630293642423832,293,3051,262.9647216796875,119.1571044921875,0.9174690211994301
0,917,3518,3,6,120,64,0.24869387357529743,0.5990177814491058,0.7512876282494753,925,2419,2.369907855987549,43.889060974121094,0.9170372609127412
0,702,4184,3,7,47,32,0.18882801945446345,0.612809698836332,0.6873901461431556,339,3005,3.347684383392334,10.957883834838867,0.9132377703898795
7,1393,1394,1,0,81,51,0.27450918903552,,0.9132952184922458,418,2926,344.9679870605469,473.7015075683594,0.9092655757523422
0,938,3892,6,3,68,47,0.22250098741628802,0.5444709772571529,0.6980527661004571,915,2429,3.9025237560272217,73.59689331054688,0.9075817106342559
7,1394,3211,0,1,51,37,0.2764399485995651,,0.9322895988554637,349,2995,473.7015075683594,109.77498626708984,0.9062000777168516
0,820,3510,3,7,305,44,0.25560839211411995,0.6617604265454526,0.7438900300492954,1094,2250,7.126079082489014,103.20319366455078,0.9041923923837485
0,4021,4184,3,7,31,32,0.2579926124739626,0.8132028762753349,0.7507470229098203,215,3129,1.3702216148376465,10.957883834838867,0.9036958680540564
7,1394,4359,0,1,51,30,0.2679063353689894,,0.7885124616878764,418,2926,473.7015075683594,79.56919860839844,0.9022494710936488
1,2488,3227,1,2,33,67,0.22103597292083157,0.6891470387429948,0.6896728743376797,197,3147,227.414306640625,150.67686462402344,0.900349725832218
0,566,3518,5,6,65,64,0.2666795372053606,0.6696352077804607,0.7764256464862639,315,3029,9.125954627990723,43.889060974121094,0.8999611415741979
0,3518,4961,6,3,64,41,0.21482632806384402,0.5666719179500529,0.6846340362762602,757,2587,43.889060974121094,21.17011070251465,0.8994538232373386
0,432,3892,6,3,3927,47,0.24792987345980208,0.5530117155371651,0.7176811884165148,963,2381,6.54338264465332,73.59689331054688,0.8976296360260783
0,636,3518,7,6,40,64,0.2391854387191994,0.6989189800678886,0.701301227999341,718,2626,41.72966003417969,43.889060974121094,0.8947368421052632
0,637,3892,6,3,536,47,0.22427997508066927,0.5312049374673173,0.6854963387783239,963,2381,9.726129531860352,73.59689331054688,0.8938733215318855
0,3892,4279,3,5,47,35,0.2419194360370166,0.48526414435296433,0.7035308611113404,178,3166,73.59689331054688,11.692805290222168,0.8934199732308623
0,917,3890,3,7,120,60,0.25903762870798736,0.6007133907115006,0.7274548203264262,1143,2201,2.369907855987549,84.10357666015625,0.8889296662492985
7,7,2446,2,0,154,68,0.20504898206249478,0.658648015037064,0.6688417412120722,1182,2162,262.9647216796875,200.8144073486328,0.8874400932602219
0,986,3892,6,3,621,47,0.2799237307400212,0.5779839655163467,0.8155345652868989,893,2451,17.616920471191406,73.59689331054688,0.8873537412028841
0,639,3892,5,3,168,47,0.18922505509806217,0.5867590096119546,0.6615318861095405,890,2454,9.173097610473633,73.59689331054688,0.8843314191960624
7,1394,4358,0,4,51,33,0.2793019868456823,,0.790161603825868,299,3045,473.7015075683594,66.26483154296875,0.8814386252752472
0,3569,3892,6,3,41,47,0.2699983590463579,0.5576863359070334,0.743686703738479,810,2534,88.25746154785156,73.59689331054688,0.8810500410172272
0,835,3892,6,3,942,47,0.25883548712813714,0.5399233015427803,0.7155108698125265,963,2381,9.173786163330078,73.59689331054688,0.880553516687535
0,685,3892,6,3,628,47,0.23957567984494824,0.5096764435487466,0.6866574916898635,963,2381,3.7479214668273926,73.59689331054688,0.8802944605155218
1,573,3675,0,6,162,67,0.2773041124548687,0.6795176719610168,0.7731513946921498,369,2975,99.38247680664062,49.203861236572266,0.8801001683865118
0,3518,3892,6,3,64,47,0.2569954866187555,0.6502475558510892,0.7083986659279944,640,2704,43.889060974121094,73.59689331054688,0.8777902508527266
