display_rank,C_state,region_A,region_B,feature,mean_A,mean_B,log2_A_over_B,common_support_features
1,7,1394,1396,DCIS_1→DCIS_2: CEACAM6/CEACAM6,0.0,0.7919195890426636,-19.594995498657227,224
1,7,1394,1396,DCIS_2→DCIS_1: CEACAM6/CEACAM6,0.0,0.7919195890426636,-19.594995498657227,224
1,7,1394,1396,DCIS_2→DCIS_2: CDH1/CDH1,0.0,0.21118079125881195,-17.688125610351562,224
1,7,1394,1396,DCIS_1→DCIS_2: CDH1/CDH1,0.0,0.20805810391902924,-17.66663360595703,224
1,7,1394,1396,DCIS_2→DCIS_1: CDH1/CDH1,0.0,0.20805811882019043,-17.66663360595703,224
1,7,1394,1396,DCIS_2→DCIS_2: CEACAM6/EGFR,0.0,0.16262410581111908,-17.311189651489258,224
1,7,1394,1396,DCIS_1→DCIS_2: CEACAM6/EGFR,0.0,0.11524977535009384,-16.814416885375977,224
1,7,1394,1396,DCIS_1→DCIS_2: CDH1/EGFR,0.0,0.10760025680065155,-16.715335845947266,224
1,7,1394,1396,DCIS_2→DCIS_2: CDH1/EGFR,0.0,0.07385070621967316,-16.172344207763672,224
1,7,1394,1396,DCIS_2→DCIS_2: CEACAM6/CEACAM8,0.0,0.06869025528430939,-16.067838668823242,224
2,7,1394,4701,DCIS_1→DCIS_2: CEACAM6/CEACAM6,0.0,1.2309566736221313,-20.23134994506836,299
2,7,1394,4701,DCIS_2→DCIS_1: CEACAM6/CEACAM6,0.0,1.2309566736221313,-20.23134994506836,299
2,7,1394,4701,DCIS_1→DCIS_1: CEACAM6/CEACAM6,0.0,0.6596313714981079,-19.331302642822266,299
2,7,1394,4701,DCIS_2→Invasive_Tumor: CEACAM6/CEACAM6,0.0,0.2946760952472687,-18.16877555847168,299
2,7,1394,4701,Invasive_Tumor→DCIS_2: CEACAM6/CEACAM6,0.0,0.2946760952472687,-18.16877555847168,299
2,7,1394,4701,Invasive_Tumor→DCIS_1: CEACAM6/CEACAM6,0.0,0.2517305016517639,-17.941526412963867,299
2,7,1394,4701,DCIS_1→Invasive_Tumor: CEACAM6/CEACAM6,0.0,0.2517305016517639,-17.941526412963867,299
2,7,1394,4701,Macrophages_1→Invasive_Tumor: S100A4/ERBB2,0.0,0.137635737657547,-17.070505142211914,299
2,7,1394,4701,Macrophages_1→DCIS_2: S100A4/ERBB2,0.0,0.12653060257434845,-16.949138641357422,299
2,7,1394,4701,DCIS_2→DCIS_2: CDH1/CDH1,0.0,0.09413855522871017,-16.522512435913086,299
3,7,1394,3180,DCIS_1→DCIS_1: CEACAM6/CEACAM6,0.0,0.6742789149284363,-19.362987518310547,260
3,7,1394,3180,DCIS_2→DCIS_1: CEACAM6/CEACAM6,0.0,0.47191306948661804,-18.84816551208496,260
3,7,1394,3180,DCIS_1→DCIS_2: CEACAM6/CEACAM6,0.0,0.47191300988197327,-18.848163604736328,260
3,7,1394,3180,Invasive_Tumor→Invasive_Tumor: CDH1/CDH1,0.0,0.06147221103310585,-15.907670021057129,260
3,7,1394,3180,Invasive_Tumor→DCIS_2: CDH1/CDH1,0.0227448008954525,0.0,14.473312377929688,260
3,7,1394,3180,DCIS_2→Invasive_Tumor: CDH1/CDH1,0.0227448008954525,0.0,14.473312377929688,260
3,7,1394,3180,Unlabeled→DCIS_2: S100A4/ERBB2,0.01125731784850359,0.0,13.458703994750977,260
3,7,1394,3180,Unlabeled→Invasive_Tumor: S100A4/ERBB2,0.010052144527435303,0.0,13.29535961151123,260
3,7,1394,3180,Unlabeled→DCIS_1: S100A4/ERBB2,0.009013637900352478,0.0,13.138053894042969,260
3,7,1394,3180,DCIS_2→Invasive_Tumor: CEACAM6/CEACAM6,0.0,0.006514552515000105,-12.669672012329102,260
