joint_id,C_state,I_state,n_cells
1,0,0,1952
2,0,1,521
3,0,2,3035
4,0,3,5152
5,0,4,3042
6,0,5,13325
7,0,6,13442
8,0,7,10529
9,1,0,35926
10,1,1,164
11,1,2,817
12,1,3,477
13,1,4,17
14,1,5,1304
15,1,6,6315
16,1,7,342
17,2,0,106
18,2,1,583
19,2,2,4973
20,2,3,109
21,2,4,929
22,2,5,582
23,2,6,384
24,2,7,85
25,3,0,456
26,3,1,30
27,3,2,232
28,3,3,276
29,3,4,146
30,3,5,1171
31,3,6,3108
32,3,7,1134
33,4,0,4
34,4,1,12233
35,4,2,114
36,4,3,2
37,4,4,5941
38,4,5,5
39,4,6,26
40,4,7,21
41,5,0,583
42,5,1,896
43,5,2,11436
44,5,3,3
45,5,4,21
46,5,5,64
47,5,6,108
48,5,7,22
49,6,0,424
50,6,1,94
51,6,2,538
52,6,3,1962
53,6,4,101
54,6,5,13043
55,6,6,1423
56,6,7,2643
57,7,0,1416
58,7,1,722
59,7,2,580
60,7,3,253
61,7,4,125
62,7,5,636
63,7,6,152
64,7,7,108
