cell_id,x,y,cell_type,n_cells_within_200um,C_state,I_state,joint_id
1,847.2599,326.19138,DCIS_2,1372,5,1,41
2,826.342,328.03183,DCIS_2,1370,5,1,41
3,848.7669,331.7432,Unlabeled,1372,5,1,41
4,824.2284,334.25266,Invasive_Tumor,1374,5,1,41
5,841.35754,332.2425,DCIS_2,1377,5,1,41
6,848.0222,336.57394,Unlabeled,1370,5,1,41
7,835.2846,338.13568,Unlabeled,1379,5,1,41
8,828.72626,341.71234,DCIS_2,1378,5,1,41
9,847.6031,344.51147,Macrophages_1,1378,5,1,41
10,838.7647,345.3068,Macrophages_1,1380,5,1,41
11,839.68427,351.17786,Macrophages_1,1384,5,3,43
12,836.1887,358.5048,Unlabeled,1396,5,3,43
13,845.6137,356.92477,DCIS_2,1387,5,3,43
14,848.88336,366.05417,DCIS_2,1394,5,3,43
15,832.43335,363.20383,DCIS_2,1395,5,3,43
16,822.4167,371.74835,Macrophages_1,1401,5,3,43
17,833.04596,371.0322,DCIS_2,1404,5,3,43
18,849.2151,373.96,DCIS_2,1395,5,3,43
19,841.712,376.10266,Invasive_Tumor,1405,5,3,43
20,832.79504,379.91003,Invasive_Tumor,1408,5,3,43
21,842.0598,384.01035,DCIS_2,1404,5,3,43
22,835.6815,384.94348,Invasive_Tumor,1409,5,3,43
23,825.28284,411.02087,Invasive_Tumor,1410,5,3,43
24,831.991,414.52222,DCIS_2,1412,5,3,43
25,840.8486,415.70758,Unlabeled,1403,5,3,43
26,824.8814,418.10855,Stromal,1412,5,3,43
27,841.1359,423.04575,DCIS_2,1403,5,3,43
28,829.19635,425.28772,DCIS_2,1411,5,3,43
29,827.0109,432.35446,DCIS_2,1416,5,3,43
30,844.83655,433.98584,DCIS_2,1399,5,3,43
31,834.9296,448.5944,DCIS_2,1410,5,3,43
32,825.53784,448.82385,Macrophages_1,1410,5,3,43
33,821.60895,458.56866,Unlabeled,1412,5,1,41
34,830.96576,459.34424,Unlabeled,1404,5,3,43
35,835.46027,461.15118,Invasive_Tumor,1401,5,3,43
36,842.5295,456.8865,Unlabeled,1397,5,3,43
37,827.2794,463.3113,DCIS_1,1406,5,3,43
38,826.52,468.62216,Unlabeled,1406,5,1,41
39,818.8288,471.2026,Unlabeled,1395,5,1,41
40,831.1727,469.4746,Unlabeled,1398,5,3,43
41,828.48517,475.05417,Invasive_Tumor,1398,5,1,41
42,838.38696,475.85913,Unlabeled,1387,6,3,51
43,845.9575,471.45392,Myoepi_ACTA2+,1379,6,3,51
44,829.8081,480.94287,DCIS_2,1390,5,3,43
45,845.45874,484.54572,Invasive_Tumor,1366,6,1,49
46,837.56354,484.4141,Unlabeled,1383,6,3,51
47,825.5777,486.4755,Macrophages_1,1390,5,1,41
48,827.1293,387.98965,Invasive_Tumor,1415,5,3,43
49,850.16296,383.84695,DCIS_2,1391,5,3,43
50,843.3348,395.2332,Unlabeled,1408,5,3,43
51,841.42786,389.97,Unlabeled,1409,5,3,43
52,827.7148,398.79935,Invasive_Tumor,1414,5,3,43
53,827.46045,393.41647,DCIS_2,1417,5,3,43
54,839.6262,395.2204,Unlabeled,1409,5,3,43
55,835.57446,395.4244,Unlabeled,1411,5,3,43
56,837.39435,401.5515,Macrophages_1,1410,5,3,43
57,848.9232,399.35556,DCIS_2,1402,5,3,43
58,835.1441,389.69177,Unlabeled,1408,5,3,43
59,833.55817,423.41602,DCIS_1,1403,5,3,43
60,837.42896,417.69818,Unlabeled,1404,5,3,43
61,823.6402,404.95825,Invasive_Tumor,1415,5,3,43
62,834.54913,408.63544,Unlabeled,1413,5,3,43
63,832.31866,404.43994,Unlabeled,1414,5,3,43
64,837.64136,410.73593,Unlabeled,1400,5,3,43
65,847.08453,411.61572,DCIS_2,1404,5,3,43
66,824.0363,351.4916,Invasive_Tumor,1384,5,1,41
67,817.45856,6.0999594,CD8+_T_Cells,541,2,1,18
68,828.99713,148.56128,Invasive_Tumor,1044,5,1,41
69,849.88464,311.8712,DCIS_2,1358,5,1,41
70,806.5244,15.48779,Myoepi_ACTA2+,576,5,1,41
71,821.9302,22.881351,Myoepi_ACTA2+,599,5,1,41
72,810.0349,25.008612,Myoepi_ACTA2+,610,5,1,41
73,829.1072,12.344772,Endothelial,559,5,1,41
74,842.84076,16.541096,Stromal,559,5,1,41
75,830.0969,28.916225,DCIS_2,620,5,1,41
76,846.121,28.978514,Myoepi_ACTA2+,616,5,5,45
77,822.2588,43.172916,DCIS_2,677,5,1,41
78,837.3119,39.855797,DCIS_2,664,5,1,41
79,846.15936,42.82286,Invasive_Tumor,670,5,5,45
80,840.01526,50.15382,Invasive_Tumor,697,5,1,41
