joint_id,C_state,I_state,n_cells
1,0,0,9014
2,0,1,4084
3,0,2,5957
4,0,3,3451
5,0,4,5711
6,0,5,2199
7,0,6,8240
8,0,7,9498
9,1,0,491
10,1,1,652
11,1,2,6485
12,1,3,408
13,1,4,219
14,1,5,37054
15,1,6,1117
16,1,7,267
17,2,0,219
18,2,1,4472
19,2,2,219
20,2,3,1258
21,2,4,102
22,2,5,281
23,2,6,640
24,2,7,118
25,3,0,1232
26,3,1,311
27,3,2,1771
28,3,3,256
29,3,4,509
30,3,5,859
31,3,6,825
32,3,7,261
33,4,0,27
34,4,1,20
35,4,2,32
36,4,3,18738
37,4,4,29
38,4,6,33
39,4,7,103
40,5,0,101
41,5,1,11590
42,5,2,120
43,5,3,1248
44,5,4,33
45,5,5,1153
46,5,6,146
47,5,7,9
48,6,0,3713
49,6,1,1346
50,6,2,337
51,6,3,774
52,6,4,6103
53,6,5,1059
54,6,6,4058
55,6,7,126
56,7,0,1451
57,7,1,928
58,7,2,286
59,7,3,245
60,7,4,1488
61,7,5,996
62,7,6,1707
63,7,7,184
