grid_id,x,y,n_cells,C_state,I_state,C_margin,I_margin
1,0.0,0.0,104,1,5,0.39546633,0.087604135
2,100.0,0.0,199,7,5,0.9196547,0.75996655
3,200.0,0.0,307,1,5,0.3900343,0.82577205
4,300.0,0.0,353,1,5,0.62151444,0.70153177
5,400.0,0.0,312,3,4,0.035508066,0.0965987
6,500.0,0.0,303,0,7,0.08065638,0.67730093
7,600.0,0.0,378,0,1,0.058986813,0.10662073
8,700.0,0.0,501,5,0,0.001703918,0.12291053
9,800.0,0.0,527,2,1,0.18655682,0.27533215
10,900.0,0.0,484,0,1,0.26853597,0.00921005
11,1000.0,0.0,408,0,2,0.064109296,0.6718468
12,1100.0,0.0,372,1,5,0.65923065,0.21505749
13,1200.0,0.0,387,6,2,0.09080696,0.06105241
14,1300.0,0.0,456,1,5,0.35594374,0.009733707
15,1400.0,0.0,462,1,3,0.5137814,1.0
16,1500.0,0.0,425,6,5,0.18883222,0.18230167
17,1600.0,0.0,421,6,2,0.5400003,0.049108267
18,1700.0,0.0,428,6,6,0.17248163,0.28707168
19,1800.0,0.0,380,6,2,0.73365545,0.19671199
20,1900.0,0.0,375,6,5,0.7773526,0.91718113
21,2000.0,0.0,393,6,5,0.7772065,1.0
22,2100.0,0.0,409,6,6,0.77775216,0.37451202
23,2200.0,0.0,350,6,3,0.7779434,0.05146572
24,2300.0,0.0,267,6,3,0.77796096,0.0006124985
25,2400.0,0.0,202,6,5,0.77796125,4.556501e-11
26,2500.0,0.0,158,6,7,0.77796125,1.57634e-19
27,2600.0,0.0,138,6,7,0.77796125,1.9898392e-22
28,2700.0,0.0,112,6,7,0.77796125,2.250323e-07
29,2800.0,0.0,57,6,6,0.77796125,1.394045e-12
30,4300.0,0.0,74,6,6,0.7778666,3.252815e-12
31,4400.0,0.0,123,6,6,0.7779612,0.3806943
32,4500.0,0.0,140,6,6,0.7779612,0.000655401
33,4600.0,0.0,139,6,6,0.77796125,0.0044367756
34,4700.0,0.0,131,6,6,0.77796125,0.022589523
35,4800.0,0.0,146,6,7,0.77796125,5.0078033e-06
36,4900.0,0.0,158,6,7,0.77796125,0.536351
37,5000.0,0.0,193,6,7,0.77796125,0.5364463
38,5100.0,0.0,231,6,3,0.7680704,1.0
39,5200.0,0.0,306,6,3,0.77783835,0.8298768
40,5300.0,0.0,339,6,7,0.77796113,0.6214719
