feature_index	sender	receiver	lr_id	pair_key	ligand	receptor	pathway	route_module	route	coverage	standard_deviation	filtered_column	full_coefficient	positive_selection_probability	negative_selection_probability	selection_probability	sign_selection_probability	mean_coefficient	mean_absolute_coefficient	direction	stability_importance
38338	Endothelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Endothelial->Endothelial|CD30	0.9973045822102425	0.0007351936178987457	20139	-0.18894725	0.0	0.84	0.84	0.84	-0.051287316	0.051287316	protective	0.043081345260143275
27778	Cancer epithelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Cancer epithelial->Endothelial|CD30	0.9973045822102425	0.0002443601088254879	13610	-0.18711387	0.0	0.84	0.84	0.84	-0.050256837	0.050256837	protective	0.04221574321389198
14201	CAFs	Cancer epithelial	CCL11--CCR3|CCL	CCL11--CCR3	CCL11	CCR3	CCL	CCL	CAFs->Cancer epithelial|CCL	0.8274932614555256	0.00039580025661325004	4683	0.18095067	0.72	0.0	0.72	0.72	0.052843142	0.052843142	risk	0.03804706245660782
25713	Cancer epithelial	Cancer epithelial	NPPC--NPR2|NPR2	NPPC--NPR2	NPPC	NPR2	NPR2	NPR2	Cancer epithelial->Cancer epithelial|NPR2	1.0	0.0011021557690524492	12020	0.06981662	0.74	0.0	0.74	0.74	0.051031627	0.051031627	risk	0.03776340380311012
38153	Endothelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Endothelial|RESISTIN	0.9973045822102425	0.003317051785815209	19988	-0.09967209	0.02	0.88	0.9	0.88	-0.042576704	0.042579707	protective	0.03747014194726944
36393	Endothelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102425	0.00033124253942452315	18626	-0.09975618	0.02	0.88	0.9	0.88	-0.042409815	0.04243342	protective	0.037341408133506775
27473	Cancer epithelial	Endothelial	NPPC--NPR2|NPR2	NPPC--NPR2	NPPC	NPR2	NPR2	NPR2	Cancer epithelial->Endothelial|NPR2	0.9973045822102425	0.000787984414579867	13386	0.057541423	0.72	0.0	0.72	0.72	0.0484979	0.0484979	risk	0.03491848826408386
27593	Cancer epithelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102425	0.001344173245731959	13462	-0.07448931	0.0	0.84	0.84	0.84	-0.038082436	0.038082436	protective	0.031989246010780334
26608	Cancer epithelial	Endothelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Cancer epithelial->Endothelial|CDH1	0.9973045822102425	0.024285064944062667	12649	-0.084485054	0.02	0.8	0.8200000000000001	0.8	-0.039923374	0.039934386	protective	0.031947508454322815
36273	Endothelial	Cancer epithelial	NPPC--NPR2|NPR2	NPPC--NPR2	NPPC	NPR2	NPR2	NPR2	Endothelial->Cancer epithelial|NPR2	0.9973045822102425	0.001436589211770141	18555	0.049080182	0.7	0.0	0.7	0.7	0.045277033	0.045277033	risk	0.03169392310082912
35408	Endothelial	Cancer epithelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Endothelial->Cancer epithelial|CDH1	0.9973045822102425	0.0025045072068154615	17838	-0.08446871	0.0	0.8	0.8	0.8	-0.039609786	0.039609786	protective	0.03168782889842987
38033	Endothelial	Endothelial	NPPC--NPR2|NPR2	NPPC--NPR2	NPPC	NPR2	NPR2	NPR2	Endothelial->Endothelial|NPR2	0.9973045822102425	0.0011512469408887008	19917	0.04851832	0.7	0.0	0.7	0.7	0.045170024	0.045170024	risk	0.0316190168261528
