niche_id	sample_id	program	n_spots	mean_program_activity	mean_smoothed_activity	hotspot_threshold
HCC-1L|P1|N1	HCC-1L	P1	12	2.6365519098851085	1.864895407783816	1.2573250195890338
HCC-1L|P1|N6	HCC-1L	P1	30	2.707324417136381	1.9701884531402067	1.2573250195890338
HCC-1L|P1|N9	HCC-1L	P1	10	2.6971728530067436	1.8564490403115568	1.2573250195890338
HCC-1L|P1|N10	HCC-1L	P1	12	2.444795736311247	1.744598971778256	1.2573250195890338
HCC-1L|P1|N17	HCC-1L	P1	14	2.961313644760064	2.112369857694703	1.2573250195890338
HCC-1L|P1|N37	HCC-1L	P1	17	2.5359124589661883	1.809400425546708	1.2573250195890338
HCC-1L|P2|N3	HCC-1L	P2	13	1.6478066257699582	1.3718236886324036	0.8556907696308821
HCC-1L|P2|N5	HCC-1L	P2	21	1.5738459530314903	1.346853560237087	0.8556907696308821
HCC-1L|P2|N6	HCC-1L	P2	10	1.5728283920016168	1.160419120527644	0.8556907696308821
HCC-1L|P2|N8	HCC-1L	P2	14	1.6665573253785395	1.3003031664820512	0.8556907696308821
HCC-1L|P2|N14	HCC-1L	P2	16	1.763590689166937	1.5172587493840728	0.8556907696308821
HCC-1L|P2|N24	HCC-1L	P2	10	1.4320470627974966	1.110288833341238	0.8556907696308821
HCC-1L|P2|N38	HCC-1L	P2	10	1.5717730600890056	1.2891282992040485	0.8556907696308821
HCC-1L|P3|N3	HCC-1L	P3	42	1.8746479503691142	1.593258455914697	1.0050281680402957
HCC-1L|P3|N5	HCC-1L	P3	11	1.9219420346609881	1.4521771489400745	1.0050281680402957
HCC-1L|P3|N7	HCC-1L	P3	17	2.1311156376878677	1.6668060949768255	1.0050281680402957
HCC-1L|P3|N12	HCC-1L	P3	16	2.049673666624583	1.7636006292289745	1.0050281680402957
HCC-1L|P3|N20	HCC-1L	P3	11	1.8725905227917716	1.4506131972993999	1.0050281680402957
HCC-1L|P3|N34	HCC-1L	P3	12	1.712209917249729	1.560580864660616	1.0050281680402957
HCC-1L|P4|N1	HCC-1L	P4	32	1.8592921588676725	1.675125750729747	0.7087772663361532
HCC-1L|P4|N4	HCC-1L	P4	30	2.529582573965381	2.298872770377405	0.7087772663361532
HCC-1L|P4|N8	HCC-1L	P4	10	1.97338716526165	1.4795085287984904	0.7087772663361532
HCC-1L|P4|N13	HCC-1L	P4	19	2.09693087621404	1.8531127450119926	0.7087772663361532
HCC-1L|P4|N26	HCC-1L	P4	10	2.131992822566164	1.9812860212543613	0.7087772663361532
HCC-1L|P5|N3	HCC-1L	P5	25	0.11972275058829059	0.11730143150676053	9.736264386451383e-06
HCC-1L|P5|N4	HCC-1L	P5	18	0.1690217024232707	0.1690374333063678	9.736264386451383e-06
HCC-1L|P5|N5	HCC-1L	P5	94	0.25060093111435605	0.25059884837702906	9.736264386451383e-06
HCC-1L|P5|N6	HCC-1L	P5	14	0.1497127653349394	0.14971276533493935	9.736264386451383e-06
