feature_index	sender	receiver	lr_id	pair_key	ligand	receptor	pathway	route_module	route	coverage	standard_deviation	filtered_column	full_coefficient	positive_selection_probability	negative_selection_probability	selection_probability	sign_selection_probability	mean_coefficient	mean_absolute_coefficient	direction	stability_importance	ccc_id
38153	Endothelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Endothelial|RESISTIN	0.9973045822102424	0.0033170517858152	19988	-0.09967209	0.02	0.88	0.9	0.88	-0.042576704	0.042579707	protective	0.0374701419472694	Endothelial->Endothelial|RETN--TLR4|RESISTIN
36393	Endothelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102424	0.0003312425394245	18626	-0.09975618	0.02	0.88	0.9	0.88	-0.042409815	0.04243342	protective	0.0373414081335067	Endothelial->Cancer epithelial|RETN--TLR4|RESISTIN
38338	Endothelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Endothelial->Endothelial|CD30	0.9973045822102424	0.0007351936178987	20139	-0.18894725	0.0	0.84	0.84	0.84	-0.051287316	0.051287316	protective	0.0430813452601432	Endothelial->Endothelial|TNFSF8--TNFRSF8|CD30
27778	Cancer epithelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Cancer epithelial->Endothelial|CD30	0.9973045822102424	0.0002443601088254	13610	-0.18711387	0.0	0.84	0.84	0.84	-0.050256837	0.050256837	protective	0.0422157432138919	Cancer epithelial->Endothelial|TNFSF8--TNFRSF8|CD30
27593	Cancer epithelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102424	0.0013441732457319	13462	-0.07448931	0.0	0.84	0.84	0.84	-0.038082436	0.038082436	protective	0.0319892460107803	Cancer epithelial->Endothelial|RETN--TLR4|RESISTIN
25833	Cancer epithelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Cancer epithelial|RESISTIN	1.0	0.000150234157386	12086	-0.061274227	0.0	0.82	0.82	0.82	-0.035224862	0.035224862	protective	0.0288843871653079	Cancer epithelial->Cancer epithelial|RETN--TLR4|RESISTIN
36054	Endothelial	Cancer epithelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Cancer epithelial|JAM	0.9973045822102424	0.0087692634421895	18350	-0.06504962	0.0	0.82	0.82	0.82	-0.031423166	0.031423166	protective	0.0257669964432716	Endothelial->Cancer epithelial|JAM2--JAM3|JAM
27257	Cancer epithelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Cancer epithelial->Endothelial|JAM	0.9973045822102424	0.0092907860198863	13180	-0.064786494	0.0	0.82	0.82	0.82	-0.031378005	0.031378005	protective	0.0257299638539552	Cancer epithelial->Endothelial|JAM3--JAM2|JAM
37814	Endothelial	Endothelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.0476998561590232	19708	-0.06850257	0.0	0.82	0.82	0.82	-0.031319726	0.031319726	protective	0.0256821755319833	Endothelial->Endothelial|JAM2--JAM3|JAM
37817	Endothelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.054155350991598	19711	-0.06824484	0.0	0.82	0.82	0.82	-0.03128243	0.03128243	protective	0.0256515914946794	Endothelial->Endothelial|JAM3--JAM2|JAM
